Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : SALVACION
Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,MANU
Latitud :,12°49'52.3'',Longitud :,71°21'52.06'',Altitud :,531 msnm.
Tipo :,EMA - Meteorológica,Código :,47E8201A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/03/01,00:00,22.4,0.0,99,108,0.2
2024/03/01,01:00,22.4,0.0,99,3,0.2
2024/03/01,02:00,22.5,0.0,99,85,0.0
2024/03/01,03:00,22.6,0.0,98,151,0.9
2024/03/01,04:00,22.5,0.0,97,151,0.0
2024/03/01,05:00,22.8,0.0,95,137,0.0
2024/03/01,06:00,22.9,0.0,93,128,0.0
2024/03/01,07:00,23.0,0.0,91,131,0.0
2024/03/01,08:00,23.5,0.0,89,134,0.0
2024/03/01,09:00,25.7,0.0,83,353,0.0
2024/03/01,10:00,28.1,0.0,78,198,0.0
2024/03/01,11:00,29.6,0.0,72,237,0.0
2024/03/01,12:00,31.1,0.0,65,89,0.0
2024/03/01,13:00,32.2,0.0,64,13,0.0
2024/03/01,14:00,31.8,0.0,65,337,0.0
2024/03/01,15:00,32.4,0.0,63,303,0.0
2024/03/01,16:00,32.5,0.0,63,292,0.0
2024/03/01,17:00,29.7,0.6,72,178,0.0
2024/03/01,18:00,23.8,11.6,92,107,0.0
2024/03/01,19:00,23.7,0.2,96,159,0.0
2024/03/01,20:00,23.5,0.0,94,142,0.0
2024/03/01,21:00,23.2,0.0,93,147,0.0
2024/03/01,22:00,23.4,0.2,93,30,0.0
2024/03/01,23:00,23.0,0.8,97,159,0.0
2024/03/02,00:00,23.0,3.8,97,306,0.0
2024/03/02,01:00,22.1,3.4,98,126,0.0
2024/03/02,02:00,21.9,2.6,99,343,0.0
2024/03/02,03:00,21.3,2.4,99,312,0.0
2024/03/02,04:00,21.2,2.2,99,197,0.0
2024/03/02,05:00,21.3,1.6,98,118,0.0
2024/03/02,06:00,21.4,0.2,96,358,0.0
2024/03/02,07:00,21.0,0.2,100,141,0.0
2024/03/02,08:00,21.6,0.0,97,133,0.0
2024/03/02,09:00,22.5,0.0,91,129,0.0
2024/03/02,10:00,23.2,0.0,88,125,0.0
2024/03/02,11:00,24.2,0.0,86,174,0.0
