Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2024-02-01,2.340,2.220,2.140,2.060
2024-02-02,1.780,1.720,1.660,1.600
2024-02-03,1.420,1.380,1.320,1.280
2024-02-04,1.100,1.060,1.020,0.960
2024-02-05,1.160,1.320,1.320,1.260
2024-02-06,1.200,1.140,0.980,0.940
2024-02-07,2.040,1.880,1.820,1.780
2024-02-08,1.820,1.800,1.760,1.700
2024-02-09,1.620,1.580,1.540,1.500
2024-02-10,1.440,1.400,1.360,1.300
2024-02-11,1.220,1.180,1.140,1.100
2024-02-12,1.440,1.400,1.360,1.300
2024-02-13,1.180,1.140,1.120,1.080
2024-02-14,1.320,1.260,1.180,1.140
2024-02-15,1.080,1.060,1.020,1.000
2024-02-16,1.080,1.060,1.000,0.960
2024-02-17,0.900,0.880,1.160,1.360
2024-02-18,1.280,1.260,1.200,1.160
2024-02-19,1.180,1.020,0.960,1.760
2024-02-20,0.000,2.020,1.960,1.880
2024-02-21,2.300,2.220,2.060,2.000
2024-02-22,1.860,2.120,2.020,1.880
2024-02-23,3.200,3.380,5.960,7.460
2024-02-24,5.960,4.880,3.680,3.020
2024-02-25,4.240,4.720,4.500,4.100
2024-02-26,3.000,2.900,3.000,3.600
2024-02-27,3.000,2.900,2.840,2.400
2024-02-28,1.620,1.600,4.800,6.020
2024-02-29,5.700,4.700,3.300,2.900
