Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-05-01,1.480,1.440,1.420,1.400
2018-05-02,1.080,1.060,1.020,1.000
2018-05-03,1.100,1.220,1.380,1.460
2018-05-04,1.320,1.300,1.280,1.260
2018-05-05,1.180,2.100,2.360,3.020
2018-05-06,2.760,2.680,2.560,2.500
2018-05-07,3.040,2.960,2.880,2.800
2018-05-08,2.080,2.040,2.000,1.980
2018-05-09,1.760,1.740,1.720,1.680
2018-05-10,1.500,1.480,1.380,1.300
2018-05-11,1.200,1.180,1.140,1.100
2018-05-12,2.040,2.440,1.780,3.020
2018-05-13,2.640,2.600,2.560,2.480
2018-05-14,2.230,2.160,2.120,2.080
2018-05-15,1.920,1.880,1.800,1.740
2018-05-16,1.660,1.600,1.580,1.540
2018-05-17,1.420,1.400,1.360,1.340
2018-05-18,1.240,1.220,1.200,1.160
2018-05-19,1.100,1.080,1.200,1.380
2018-05-20,1.460,1.520,1.480,1.440
2018-05-21,1.320,1.700,1.680,1.660
2018-05-22,1.580,1.540,1.500,1.460
2018-05-23,1.380,1.360,1.320,1.300
2018-05-24,1.220,1.200,1.180,1.160
2018-05-25,1.080,1.060,1.060,1.040
2018-05-26,0.980,0.960,0.940,0.920
2018-05-27,1.000,0.980,0.960,0.940
2018-05-28,0.900,0.880,0.840,0.840
2018-05-29,0.820,0.820,0.800,0.780
2018-05-30,0.740,0.720,0.700,0.660
2018-05-31,1.620,0.600,1.860,2.000
