Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2025-06-01,1.400,1.380,1.360,1.320
2025-06-02,1.220,1.220,1.200,1.160
2025-06-03,1.080,1.200,1.180,1.160
2025-06-04,1.140,1.140,1.120,1.120
2025-06-05,1.100,1.100,1.090,1.080
2025-06-06,1.080,1.040,1.040,1.020
2025-06-07,1.060,1.040,1.000,1.000
2025-06-08,1.000,1.000,1.000,1.000
2025-06-09,0.980,0.980,0.960,0.960
2025-06-10,2.500,2.380,1.900,1.640
2025-06-11,1.280,1.250,1.200,1.200
2025-06-12,1.070,1.060,1.060,1.060
2025-06-13,1.000,1.000,1.000,1.000
2025-06-14,1.040,1.040,1.020,1.020
2025-06-15,1.360,1.440,1.520,1.640
2025-06-16,1.560,1.540,1.520,1.460
2025-06-17,1.600,1.720,1.700,1.700
2025-06-18,1.300,1.280,1.260,1.240
2025-06-19,1.140,1.120,1.120,1.120
2025-06-20,1.100,1.080,1.080,1.060
2025-06-21,1.060,1.040,1.040,1.020
2025-06-22,1.000,1.000,1.100,1.180
2025-06-23,1.260,1.200,1.180,1.060
2025-06-24,1.140,1.140,1.120,1.100
2025-06-25,1.320,1.580,1.720,1.720
2025-06-26,1.500,1.280,1.220,1.200
2025-06-27,1.100,1.080,1.080,1.040
2025-06-28,1.020,1.120,1.100,1.000
2025-06-29,0.980,0.980,0.960,0.960
2025-06-30,0.940,0.940,0.940,0.940
