Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2022-02-01,6.220,5.860,4.920,3.780
2022-02-02,3.040,2.920,2.900,2.820
2022-02-03,2.060,2.020,1.940,1.900
2022-02-04,1.780,1.740,1.700,1.640
2022-02-05,1.500,1.460,1.420,1.360
2022-02-06,1.220,1.200,3.100,4.280
2022-02-07,3.360,4.660,3.920,3.740
2022-02-08,5.180,4.880,4.200,3.860
2022-02-09,2.800,2.720,2.680,2.620
2022-02-10,2.360,2.300,2.260,2.200
2022-02-11,2.880,2.820,2.760,2.700
2022-02-12,2.440,2.380,2.340,2.300
2022-02-13,2.120,2.080,2.060,2.020
2022-02-14,1.900,1.880,1.840,1.800
2022-02-15,1.660,1.640,1.620,2.320
2022-02-16,3.160,3.560,3.340,3.060
2022-02-17,2.680,2.640,2.600,2.540
2022-02-18,1.880,1.860,1.840,1.800
2022-02-19,1.660,1.620,1.600,1.560
2022-02-20,1.340,1.480,2.060,2.400
2022-02-21,5.180,5.040,4.740,4.600
2022-02-22,3.540,3.460,3.300,3.220
2022-02-23,2.720,2.700,2.620,2.560
2022-02-24,2.000,1.960,1.900,1.860
2022-02-25,1.680,1.640,1.580,1.520
2022-02-26,2.300,2.280,2.220,2.180
2022-02-27,2.040,2.000,1.960,1.940
2022-02-28,1.620,1.600,1.560,1.500
