Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-05-01,1.280,1.240,1.200,1.160
2017-05-02,1.120,1.100,1.080,1.040
2017-05-03,1.000,1.000,0.980,0.960
2017-05-04,0.920,0.900,0.900,0.880
2017-05-05,1.040,1.080,1.160,1.240
2017-05-06,1.180,1.280,1.340,1.400
2017-05-07,1.560,1.720,1.760,1.940
2017-05-08,2.160,2.260,2.320,2.480
2017-05-09,2.320,2.300,2.220,2.140
2017-05-10,2.040,2.000,1.980,1.960
2017-05-11,1.760,1.720,1.660,1.600
2017-05-12,1.220,1.160,1.140,1.120
2017-05-13,1.080,1.060,1.020,1.000
2017-05-14,0.960,0.940,0.940,0.920
2017-05-15,1.000,1.040,1.100,1.100
2017-05-16,1.060,1.020,1.000,0.980
2017-05-17,0.940,0.920,0.900,0.900
2017-05-18,0.820,0.800,0.780,0.760
2017-05-19,1.160,1.260,1.300,1.380
2017-05-20,1.220,1.180,1.160,1.120
2017-05-21,1.080,1.200,1.280,1.360
2017-05-22,1.300,1.220,1.140,1.020
2017-05-23,1.020,0.980,0.960,0.920
2017-05-24,2.140,2.200,2.420,2.680
2017-05-25,3.280,3.180,3.040,2.920
2017-05-26,2.560,2.460,2.320,2.240
2017-05-27,2.000,1.940,1.900,1.840
2017-05-28,2.120,2.320,2.280,2.460
2017-05-29,2.300,2.220,2.160,2.100
2017-05-30,1.960,1.900,1.840,1.780
2017-05-31,1.520,1.480,1.420,1.360
