Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2025-09-01,0.660,0.660,0.660,0.660
2025-09-02,0.660,0.660,0.760,0.880
2025-09-03,0.820,0.840,0.820,0.820
2025-09-04,0.740,0.740,0.720,0.720
2025-09-05,0.680,0.680,0.660,0.660
2025-09-06,1.520,3.600,5.100,5.320
2025-09-07,1.860,1.780,1.720,1.720
2025-09-08,1.720,1.360,1.240,1.200
2025-09-09,0.860,0.860,0.840,0.840
2025-09-10,0.800,0.800,0.780,0.760
2025-09-11,0.740,0.740,0.740,0.740
2025-09-12,0.740,0.720,0.720,0.740
2025-09-13,0.700,0.700,0.700,0.700
2025-09-14,0.700,0.700,0.700,0.700
2025-09-15,0.700,0.700,0.680,0.680
2025-09-16,0.720,0.880,0.760,0.920
2025-09-17,0.740,0.740,0.780,0.800
2025-09-18,1.000,0.980,0.940,0.920
2025-09-19,0.740,0.720,0.720,0.720
2025-09-20,0.700,0.700,0.680,0.680
2025-09-21,0.660,0.660,0.660,0.660
2025-09-22,0.640,0.640,0.640,0.640
2025-09-23,0.620,0.620,0.620,0.660
2025-09-24,0.660,0.660,0.660,0.660
2025-09-25,0.620,0.620,0.620,0.620
2025-09-26,0.640,0.640,0.640,0.640
2025-09-27,0.620,0.620,0.620,0.620
2025-09-28,0.620,0.620,0.620,0.620
2025-09-29,0.620,0.620,0.620,0.620
2025-09-30,0.620,0.600,0.600,0.600
