Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-05-01,1.760,1.740,1.720,5.220
2019-05-02,4.080,3.920,3.780,3.620
2019-05-03,3.280,3.160,3.040,2.880
2019-05-04,2.620,2.540,2.500,2.460
2019-05-05,2.320,2.300,2.280,2.260
2019-05-06,2.140,2.120,2.100,2.080
2019-05-07,1.940,1.920,1.900,1.880
2019-05-08,1.780,1.760,1.740,1.720
2019-05-09,1.640,1.620,1.600,1.580
2019-05-10,1.500,1.480,1.460,1.440
2019-05-11,1.360,1.340,1.320,1.300
2019-05-12,1.220,1.200,1.180,1.160
2019-05-13,1.080,1.060,2.960,3.840
2019-05-14,3.280,3.040,2.820,2.660
2019-05-15,2.440,2.400,2.360,2.320
2019-05-16,2.200,2.180,2.160,2.120
2019-05-17,1.980,1.960,1.920,1.880
2019-05-18,1.760,1.740,1.700,1.680
2019-05-19,1.540,1.520,1.500,1.460
2019-05-20,1.380,1.360,1.340,1.340
2019-05-21,1.220,1.200,1.180,1.160
2019-05-22,1.080,1.140,1.260,1.300
2019-05-23,1.200,1.180,1.140,1.120
2019-05-24,1.060,1.040,1.040,1.020
2019-05-25,1.100,1.100,1.080,1.020
2019-05-26,1.000,0.980,0.980,0.960
2019-05-27,1.120,1.200,1.260,1.300
2019-05-28,1.160,1.120,1.100,1.080
2019-05-29,0.980,0.960,0.940,0.920
2019-05-30,0.900,0.900,0.880,0.860
2019-05-31,0.820,0.800,0.780,0.760
