Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2022-12-01,0.400,0.400,0.380,0.380
2022-12-02,1.720,3.120,3.360,3.460
2022-12-03,4.180,4.560,5.260,7.660
2022-12-04,4.880,4.760,4.620,4.540
2022-12-05,3.900,3.820,3.660,3.420
2022-12-06,2.840,2.380,2.700,2.620
2022-12-07,2.160,2.100,2.060,2.000
2022-12-08,1.880,1.860,1.800,1.760
2022-12-09,1.640,1.600,1.560,1.520
2022-12-10,1.400,1.360,1.320,1.280
2022-12-11,1.180,1.160,1.120,1.060
2022-12-12,1.000,0.980,0.940,0.920
2022-12-13,0.800,0.780,0.760,0.720
2022-12-14,0.660,1.100,1.280,1.360
2022-12-15,1.240,1.200,1.160,1.120
2022-12-16,1.040,1.020,1.000,0.980
2022-12-17,1.120,1.260,1.200,1.180
2022-12-18,1.540,1.500,1.420,1.380
2022-12-19,1.260,1.240,1.180,1.140
2022-12-20,1.080,1.860,2.220,3.040
2022-12-21,2.840,2.920,2.860,2.740
2022-12-22,2.300,2.240,2.180,2.120
2022-12-23,1.960,1.920,1.880,1.840
2022-12-24,1.700,1.660,1.600,1.540
2022-12-25,1.420,1.380,1.340,1.280
2022-12-26,1.160,2.760,2.580,2.440
2022-12-27,1.840,1.780,1.720,1.680
2022-12-28,1.480,1.440,1.380,1.340
2022-12-29,1.200,1.180,1.120,1.100
2022-12-30,1.160,2.160,3.880,4.220
2022-12-31,3.720,3.560,2.400,2.280
