Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-11-01,2.400,2.320,2.260,2.180
2020-11-02,1.940,1.900,1.880,1.840
2020-11-03,1.720,1.700,1.680,1.640
2020-11-04,1.500,1.480,1.440,1.400
2020-11-05,1.280,1.260,1.240,1.200
2020-11-06,1.100,1.080,1.060,1.040
2020-11-07,1.000,1.000,0.980,0.940
2020-11-08,0.860,0.840,0.820,0.800
2020-11-09,0.720,0.720,0.700,0.680
2020-11-10,0.600,0.580,0.560,0.540
2020-11-11,1.220,1.460,1.420,1.360
2020-11-12,1.200,1.180,1.160,3.600
2020-11-13,1.060,1.040,1.020,0.980
2020-11-14,0.920,0.920,0.900,0.880
2020-11-15,1.180,1.260,1.400,1.360
2020-11-16,1.240,1.200,1.180,1.140
2020-11-17,1.060,1.040,1.020,1.000
2020-11-18,0.900,0.860,0.840,0.800
2020-11-19,0.700,0.700,0.680,0.640
2020-11-20,1.220,1.360,1.480,1.680
2020-11-21,2.400,2.340,2.260,2.200
2020-11-22,2.020,1.980,1.940,1.900
2020-11-23,1.760,1.740,1.700,1.680
2020-11-24,1.500,1.460,1.420,1.380
2020-11-25,1.220,1.200,1.160,1.120
2020-11-26,1.040,1.040,1.020,1.000
2020-11-27,1.160,1.260,1.240,1.200
2020-11-28,1.100,1.080,1.060,1.040
2020-11-29,1.420,1.760,1.940,2.100
2020-11-30,1.920,1.880,1.840,1.800
