Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2025-07-01,0.920,0.920,0.920,0.940
2025-07-02,1.240,1.300,1.260,1.240
2025-07-03,1.060,1.040,1.020,1.020
2025-07-04,0.960,0.960,0.940,0.940
2025-07-05,0.920,0.920,0.920,0.900
2025-07-06,0.900,0.880,0.880,0.880
2025-07-07,0.860,0.860,0.860,0.840
2025-07-08,0.840,0.840,0.840,0.840
2025-07-09,0.840,0.840,0.840,0.840
2025-07-10,0.820,0.820,0.820,0.820
2025-07-11,0.820,0.820,0.820,0.820
2025-07-12,0.800,0.800,0.800,0.800
2025-07-13,0.800,0.800,0.800,0.800
2025-07-14,0.800,0.780,0.780,0.780
2025-07-15,0.760,0.760,0.760,0.760
2025-07-16,0.760,0.760,0.760,0.760
2025-07-17,0.740,0.740,0.740,0.740
2025-07-18,0.880,0.920,0.900,0.900
2025-07-19,0.860,0.860,0.860,0.860
2025-07-20,0.820,0.820,0.800,0.800
2025-07-21,0.760,0.760,0.760,0.760
2025-07-22,0.740,0.740,0.740,0.740
2025-07-23,0.740,0.740,0.740,0.740
2025-07-24,0.720,0.720,0.720,0.720
2025-07-25,0.720,0.720,0.700,0.700
2025-07-26,0.700,0.700,0.700,0.700
2025-07-27,0.700,0.700,0.700,0.700
2025-07-28,0.700,0.700,0.700,0.700
2025-07-29,0.720,0.720,0.720,0.700
2025-07-30,0.760,0.740,0.740,0.760
2025-07-31,0.840,0.800,0.800,0.800
