Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2025-08-01,0.740,0.740,0.740,0.740
2025-08-02,0.720,0.720,0.720,0.720
2025-08-03,0.860,0.860,0.840,0.840
2025-08-04,0.800,0.820,0.820,0.820
2025-08-05,0.800,0.800,0.780,0.760
2025-08-06,0.700,0.700,0.700,0.700
2025-08-07,0.680,0.680,0.680,0.690
2025-08-08,0.680,0.680,0.680,0.660
2025-08-09,0.700,1.340,1.820,2.760
2025-08-10,2.080,1.940,1.600,1.420
2025-08-11,2.040,1.920,1.720,1.680
2025-08-12,1.060,1.000,0.940,0.920
2025-08-13,0.920,0.900,0.880,0.880
2025-08-14,0.840,0.840,0.840,0.840
2025-08-15,2.940,2.000,1.700,1.700
2025-08-16,1.320,1.260,1.200,1.180
2025-08-17,0.960,0.940,0.920,0.900
2025-08-18,0.880,0.860,0.860,0.860
2025-08-19,0.860,0.860,0.840,0.820
2025-08-20,0.840,0.840,0.800,0.800
2025-08-21,0.780,0.780,0.760,0.760
2025-08-22,0.760,0.760,0.740,0.740
2025-08-23,0.700,0.700,0.680,0.660
2025-08-24,0.720,0.720,0.720,0.700
2025-08-25,0.700,0.700,0.740,0.740
2025-08-26,0.920,0.960,1.000,1.000
2025-08-27,0.860,0.840,0.820,0.820
2025-08-28,0.740,0.740,0.720,0.720
2025-08-29,0.700,0.700,0.700,0.700
2025-08-30,0.680,0.680,0.680,0.680
2025-08-31,0.660,0.660,0.660,0.660
