Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-02-01,2.020,1.960,1.940,1.900
2021-02-02,1.660,1.640,1.600,1.560
2021-02-03,1.400,1.380,1.360,1.320
2021-02-04,1.180,1.160,1.140,1.100
2021-02-05,1.220,1.420,1.520,1.480
2021-02-06,2.280,2.460,2.380,2.320
2021-02-07,2.160,2.100,2.060,2.040
2021-02-08,1.880,1.860,1.820,1.780
2021-02-09,6.040,6.480,8.900,9.320
2021-02-10,7.260,6.960,6.360,5.880
2021-02-11,8.300,7.840,8.920,8.220
2021-02-12,6.100,5.760,5.100,4.840
2021-02-13,3.620,3.540,3.380,3.300
2021-02-14,2.960,2.900,2.840,2.780
2021-02-15,2.340,2.300,2.260,2.220
2021-02-16,1.940,1.900,1.860,1.820
2021-02-17,1.520,1.480,1.460,1.440
2021-02-18,1.360,1.640,2.080,2.480
2021-02-19,3.220,3.160,3.080,3.020
2021-02-20,2.860,2.820,2.760,2.700
2021-02-21,2.440,2.380,2.320,2.260
2021-02-22,1.920,1.900,1.860,1.820
2021-02-23,1.640,1.620,1.580,1.540
2021-02-24,1.380,1.340,1.300,1.280
2021-02-25,1.180,1.160,1.120,1.100
2021-02-26,2.040,2.140,2.080,2.020
2021-02-27,1.960,1.940,1.920,2.380
2021-02-28,2.220,2.160,2.120,2.080
