Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-12-01,2.080,2.020,1.980,1.940
2021-12-02,1.760,1.740,1.700,1.660
2021-12-03,3.040,2.880,2.820,2.760
2021-12-04,2.260,2.220,2.180,2.120
2021-12-05,2.000,1.960,1.940,1.900
2021-12-06,1.660,1.640,1.860,2.260
2021-12-07,2.040,1.980,1.920,1.900
2021-12-08,1.860,1.840,1.780,1.740
2021-12-09,1.500,1.480,1.440,1.400
2021-12-10,1.260,1.220,1.200,1.180
2021-12-11,1.100,1.080,1.060,1.040
2021-12-12,0.980,0.960,0.940,1.040
2021-12-13,2.980,2.800,2.680,2.520
2021-12-14,5.800,5.680,5.420,5.260
2021-12-15,3.880,3.360,3.220,2.900
2021-12-16,2.320,2.200,2.120,2.020
2021-12-17,1.800,1.740,1.700,1.660
2021-12-18,1.300,1.280,1.240,1.200
2021-12-19,1.080,1.060,1.040,1.000
2021-12-20,0.920,1.160,1.260,1.380
2021-12-21,1.680,1.620,1.580,1.540
2021-12-22,1.440,1.400,1.380,1.640
2021-12-23,2.000,1.940,1.900,1.860
2021-12-24,1.720,1.700,1.680,1.620
2021-12-25,1.480,1.460,1.420,1.380
2021-12-26,1.240,1.200,1.160,1.120
2021-12-27,1.020,1.000,0.960,0.940
2021-12-28,1.260,1.220,1.200,1.180
2021-12-29,1.100,1.080,1.040,1.020
2021-12-30,1.140,1.280,1.320,1.260
2021-12-31,1.160,1.120,1.080,1.040
