Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-03-01,1.880,1.860,1.840,1.800
2021-03-02,2.760,2.700,2.660,2.640
2021-03-03,2.240,2.200,2.180,2.140
2021-03-04,1.900,1.840,1.780,1.720
2021-03-05,1.540,1.500,1.440,1.380
2021-03-06,1.220,1.200,1.160,1.140
2021-03-07,1.080,1.060,1.240,1.320
2021-03-08,2.060,2.000,1.960,1.920
2021-03-09,1.740,1.700,1.680,1.640
2021-03-10,2.580,2.840,2.760,2.700
2021-03-11,2.360,2.320,2.280,2.220
2021-03-12,2.100,2.060,2.020,1.960
2021-03-13,1.720,1.700,1.660,1.640
2021-03-14,1.880,1.940,2.140,2.440
2021-03-15,2.260,2.200,2.180,2.140
2021-03-16,2.000,1.960,1.920,1.900
2021-03-17,1.660,1.640,1.600,1.580
2021-03-18,1.420,1.400,1.360,1.320
2021-03-19,1.200,1.180,1.160,1.160
2021-03-20,1.100,1.140,1.480,3.880
2021-03-21,7.080,7.360,7.260,6.860
2021-03-22,5.320,5.100,4.800,4.240
2021-03-23,3.000,2.920,3.480,4.720
2021-03-24,3.880,3.800,3.660,3.480
2021-03-25,3.160,3.100,2.980,6.920
2021-03-26,2.780,2.740,2.680,2.600
2021-03-27,2.320,2.260,2.200,2.180
2021-03-28,1.980,1.960,1.920,1.900
2021-03-29,1.640,1.600,2.260,3.140
2021-03-30,4.100,3.980,3.900,3.820
2021-03-31,2.960,2.920,2.860,2.800
