Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-02-01,1.060,1.100,1.080,1.040
2018-02-02,1.000,1.000,0.960,0.920
2018-02-03,0.880,0.860,0.840,0.820
2018-02-04,1.920,2.040,2.120,2.260
2018-02-05,2.080,2.000,2.380,2.520
2018-02-06,3.360,3.240,3.020,2.940
2018-02-07,2.280,2.220,2.160,2.080
2018-02-08,1.880,1.820,1.740,1.700
2018-02-09,1.520,1.500,1.440,1.380
2018-02-10,1.260,1.200,1.180,1.140
2018-02-11,1.080,1.080,1.060,1.040
2018-02-12,1.120,2.040,4.280,6.780
2018-02-13,4.100,3.920,3.800,3.640
2018-02-14,3.340,4.260,4.420,4.160
2018-02-15,3.100,2.880,2.760,2.620
2018-02-16,4.080,4.660,5.220,5.840
2018-02-17,3.860,3.720,3.600,3.460
2018-02-18,2.900,2.740,2.760,2.680
2018-02-19,2.360,2.300,2.240,2.180
2018-02-20,2.040,2.000,2.120,2.200
2018-02-21,2.140,2.080,2.020,1.980
2018-02-22,1.800,1.780,1.740,1.700
2018-02-23,2.000,4.800,5.120,5.220
2018-02-24,3.140,3.040,2.940,2.880
2018-02-25,2.520,2.440,2.380,2.300
2018-02-26,3.080,3.260,3.420,3.580
2018-02-27,2.940,2.880,2.840,2.790
2018-02-28,2.220,2.160,2.120,2.080
