Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-05-01,1.200,1.150,1.100,1.080
2018-05-02,1.050,1.020,1.000,0.970
2018-05-03,1.150,1.080,1.040,1.000
2018-05-04,0.970,0.930,0.900,0.880
2018-05-05,1.180,1.280,1.350,1.150
2018-05-06,1.080,1.050,1.000,0.970
2018-05-07,1.150,1.100,1.080,1.040
2018-05-08,1.000,0.980,0.950,0.930
2018-05-09,1.100,1.070,1.030,1.000
2018-05-10,0.950,0.920,0.900,0.860
2018-05-11,1.700,1.650,1.550,1.450
2018-05-12,1.660,1.400,1.300,1.200
2018-05-13,1.150,1.100,1.050,1.000
2018-05-14,0.850,0.830,0.800,0.750
2018-05-15,0.650,0.600,0.550,0.500
2018-05-16,0.400,0.000,0.000,0.000
