Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-04-01,1.500,1.470,1.450,1.430
2019-04-02,1.570,1.540,1.500,1.480
2019-04-03,1.400,1.370,1.340,1.300
2019-04-04,1.250,1.200,1.150,1.100
2019-04-05,2.000,1.800,1.700,1.650
2019-04-06,1.550,1.450,1.400,1.350
2019-04-07,1.850,1.660,1.450,1.400
2019-04-08,1.500,1.470,1.440,1.400
2019-04-09,1.550,1.480,1.450,1.420
2019-04-10,1.370,1.350,1.330,1.300
2019-04-11,1.480,1.460,1.440,1.410
2019-04-12,1.380,1.350,1.320,1.300
2019-04-13,1.450,1.750,2.500,2.100
2019-04-14,1.600,1.550,1.500,1.450
2019-04-15,1.550,1.430,1.410,1.370
2019-04-16,1.480,1.450,1.420,1.380
2019-04-17,1.400,1.380,1.360,1.340
2019-04-18,1.550,1.470,1.440,1.400
2019-04-19,1.380,1.450,1.500,1.430
2019-04-20,1.350,1.330,1.300,1.270
2019-04-21,1.200,1.180,1.160,1.140
2019-04-22,1.500,1.470,1.440,1.410
2019-04-23,1.200,1.170,1.150,1.130
2019-04-24,2.800,3.150,2.600,2.200
2019-04-25,1.500,1.450,1.400,1.350
2019-04-26,1.440,1.420,1.390,1.360
2019-04-27,1.300,1.270,1.250,1.230
2019-04-28,1.880,2.000,1.750,1.650
2019-04-29,1.550,1.450,1.400,1.350
2019-04-30,1.300,1.370,1.350,1.330
