Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-11-01,1.280,1.500,1.950,1.600
2018-11-02,1.500,1.470,1.440,1.400
2018-11-03,1.450,1.430,1.400,1.380
2018-11-04,1.550,1.400,1.370,1.350
2018-11-05,1.470,1.450,1.430,1.410
2018-11-06,2.200,2.000,1.800,1.600
2018-11-07,1.780,2.800,3.000,2.650
2018-11-08,1.800,1.750,1.700,1.650
2018-11-09,1.550,1.530,1.500,1.470
2018-11-10,1.450,1.430,1.400,1.370
2018-11-11,1.550,1.480,1.460,1.440
2018-11-12,1.500,1.570,1.550,1.530
2018-11-13,1.850,2.100,1.750,1.600
2018-11-14,1.450,1.430,1.400,1.370
2018-11-15,1.550,1.470,1.440,1.420
2018-11-16,2.800,3.150,2.750,2.300
2018-11-17,1.600,1.580,1.560,1.540
2018-11-18,1.480,1.650,1.900,1.600
2018-11-19,1.800,1.650,1.600,1.450
2018-11-20,3.100,2.850,2.650,2.550
2018-11-21,1.500,1.450,1.400,1.370
2018-11-22,1.350,1.480,1.560,1.540
2018-11-23,1.500,1.470,1.450,1.420
2018-11-24,1.600,1.660,1.700,1.550
2018-11-25,1.650,1.600,1.550,1.500
2018-11-26,2.100,1.900,1.850,1.600
2018-11-27,2.900,2.750,2.550,2.450
2018-11-28,3.200,2.850,2.650,2.480
2018-11-29,2.300,2.100,1.900,1.750
2018-11-30,1.850,1.650,1.550,1.400
