Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2025-05-01,0.790,0.780,0.730,0.730
2025-05-02,0.630,0.640,0.640,0.590
2025-05-03,0.700,0.690,0.790,0.700
2025-05-04,0.700,0.690,0.790,0.700
2025-05-05,0.700,0.670,0.640,0.630
2025-05-06,0.720,0.680,0.640,0.630
2025-05-07,0.590,0.580,0.580,0.540
2025-05-08,0.550,0.540,0.710,0.550
2025-05-09,0.520,0.530,0.530,0.530
2025-05-10,0.860,0.730,0.640,0.640
2025-05-11,0.580,0.570,0.640,1.020
2025-05-12,0.640,0.590,0.580,0.570
2025-05-13,0.550,0.540,0.540,0.550
2025-05-14,0.540,0.530,0.520,0.500
2025-05-15,0.500,0.500,0.000,0.500
2025-05-16,0.490,0.510,0.500,0.500
2025-05-17,0.500,0.500,0.490,0.500
2025-05-18,0.490,0.500,0.500,0.500
2025-05-19,0.500,0.900,0.770,0.720
2025-05-20,0.500,0.550,0.530,0.650
2025-05-21,0.670,0.620,0.560,0.540
2025-05-22,0.550,0.540,0.540,0.530
2025-05-23,0.530,0.590,0.590,0.640
2025-05-24,0.540,0.530,0.530,0.530
2025-05-25,0.540,0.690,0.700,0.700
2025-05-26,0.530,0.530,0.530,0.530
2025-05-27,1.010,0.780,0.640,0.630
2025-05-28,0.590,0.610,0.610,0.630
2025-05-29,0.660,1.010,1.890,1.350
2025-05-30,0.900,0.820,0.780,0.730
2025-05-31,0.660,0.650,0.640,0.610
