Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-07-01,1.500,1.450,1.400,1.300
2017-07-02,1.480,1.440,1.370,1.330
2017-07-03,1.250,1.200,1.150,1.100
2017-07-04,1.180,1.130,1.080,1.050
2017-07-05,1.030,1.000,0.980,0.960
2017-07-06,0.940,0.920,0.900,0.880
2017-07-07,0.860,0.840,0.820,0.800
2017-07-08,0.890,0.880,0.870,0.860
2017-07-09,0.850,0.840,0.830,0.820
2017-07-10,0.810,0.780,0.760,0.740
2017-07-11,1.000,1.100,1.150,1.050
2017-07-12,1.180,1.150,1.130,1.100
2017-07-13,0.900,0.880,0.860,0.840
2017-07-14,0.820,0.800,0.780,0.760
2017-07-15,0.770,0.760,0.750,0.740
2017-07-16,0.730,0.720,0.700,0.890
2017-07-17,1.150,1.130,1.100,1.070
2017-07-18,1.180,1.250,1.300,1.450
2017-07-19,1.550,1.370,1.250,1.200
2017-07-20,1.150,1.080,1.050,1.030
2017-07-21,1.000,0.980,0.960,0.940
2017-07-22,0.920,0.900,0.880,0.860
2017-07-23,0.840,0.820,0.800,0.790
2017-07-24,0.780,0.770,0.760,0.740
2017-07-25,0.730,0.720,0.700,0.690
2017-07-26,0.680,0.670,0.660,0.650
2017-07-27,0.640,0.630,0.620,0.610
2017-07-28,0.600,0.590,0.580,0.570
2017-07-29,0.560,0.550,0.540,0.530
2017-07-30,0.520,0.510,0.500,0.490
2017-07-31,0.800,0.770,0.750,0.730
