Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2024-03-01,0.980,1.150,1.050,1.130
2024-03-02,0.950,0.900,0.880,0.850
2024-03-03,0.830,0.790,0.780,0.760
2024-03-04,0.850,0.900,1.350,1.000
2024-03-05,1.880,1.350,1.000,0.980
2024-03-06,0.880,0.980,0.880,0.890
2024-03-07,1.060,1.410,1.340,1.330
2024-03-08,0.960,0.920,0.870,0.840
2024-03-09,0.810,0.800,0.790,0.780
2024-03-10,0.760,0.750,0.730,0.750
2024-03-11,0.800,0.840,0.870,0.790
2024-03-12,1.040,1.170,1.060,0.940
2024-03-13,0.810,0.810,0.860,0.810
2024-03-14,0.750,0.740,0.720,0.700
2024-03-15,0.830,0.790,0.760,0.740
2024-03-16,0.720,0.710,0.720,0.840
2024-03-17,0.710,0.730,0.720,0.910
2024-03-18,1.180,1.010,0.950,0.850
2024-03-19,0.790,0.810,0.830,0.830
2024-03-20,0.750,0.740,0.730,0.770
2024-03-21,0.720,0.720,0.710,0.700
2024-03-22,1.200,1.000,0.920,1.000
2024-03-23,0.920,1.250,1.940,1.550
2024-03-24,1.030,0.960,0.900,0.820
2024-03-25,0.820,0.720,0.760,0.740
2024-03-26,0.720,0.720,0.730,0.790
2024-03-27,0.750,0.750,0.710,0.690
2024-03-28,0.650,0.650,0.640,0.640
2024-03-29,0.630,0.630,0.620,0.610
2024-03-30,0.590,0.580,0.570,0.560
2024-03-31,0.580,0.580,0.570,0.570
