Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-06-01,1.200,1.170,1.150,1.130
2021-06-02,1.000,0.980,0.950,0.930
2021-06-03,1.200,1.150,1.100,1.050
2021-06-04,1.000,0.980,0.950,0.910
2021-06-05,0.880,0.860,0.840,0.820
2021-06-06,1.150,1.100,1.050,1.000
2021-06-07,1.500,1.450,1.400,1.300
2021-06-08,1.200,1.150,1.100,1.050
2021-06-09,1.450,1.400,1.300,1.250
2021-06-10,1.550,1.480,1.450,1.400
2021-06-11,1.600,1.550,1.500,1.450
2021-06-12,2.800,2.500,2.200,2.100
2021-06-13,1.800,1.750,1.650,1.600
2021-06-14,1.450,1.400,1.350,1.300
2021-06-15,1.150,1.100,1.050,1.000
2021-06-16,0.900,0.870,0.830,0.800
2021-06-17,0.750,0.730,0.700,0.680
2021-06-18,0.650,0.620,0.600,0.570
2021-06-19,0.550,0.750,0.800,0.770
2021-06-20,0.600,0.580,0.560,0.540
2021-06-21,0.520,0.500,0.480,0.460
2021-06-22,0.450,0.450,0.450,0.450
2021-06-23,0.430,0.430,0.430,0.430
2021-06-24,0.420,0.420,0.420,0.420
2021-06-25,0.410,0.410,0.410,0.410
2021-06-26,0.400,0.400,0.400,0.400
2021-06-27,0.580,0.570,0.560,0.550
2021-06-28,1.500,1.660,1.450,1.300
2021-06-29,2.500,2.300,2.200,2.000
2021-06-30,1.700,1.650,1.600,1.550
