Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2022-07-01,0.530,0.530,0.530,0.530
2022-07-02,0.520,0.520,0.520,0.520
2022-07-03,0.510,0.510,0.510,0.510
2022-07-04,0.500,0.500,0.500,0.500
2022-07-05,0.490,0.490,0.490,0.490
2022-07-06,0.480,0.480,0.480,0.480
2022-07-07,0.470,0.470,0.470,0.470
2022-07-08,0.460,0.460,0.460,0.460
2022-07-09,0.450,0.450,0.450,0.450
2022-07-10,0.440,0.440,0.440,0.440
2022-07-11,0.430,0.430,0.430,0.430
2022-07-12,0.420,0.950,1.000,0.980
2022-07-13,0.960,0.940,0.920,0.900
2022-07-14,1.100,1.030,1.000,0.980
2022-07-15,1.080,1.050,1.030,1.000
2022-07-16,1.150,1.070,1.050,1.030
2022-07-17,1.800,1.650,1.550,1.450
2022-07-18,1.400,1.350,1.300,1.250
2022-07-19,1.200,1.150,1.100,1.150
2022-07-20,1.100,1.080,1.060,1.040
2022-07-21,1.000,0.980,0.960,0.940
2022-07-22,0.900,0.830,0.800,0.770
2022-07-23,0.750,0.730,0.710,0.690
2022-07-24,0.650,0.610,0.580,0.560
2022-07-25,0.950,0.930,0.900,0.860
2022-07-26,1.300,1.850,1.950,1.750
2022-07-27,1.550,1.450,1.400,1.350
2022-07-28,1.200,1.150,1.100,1.050
2022-07-29,1.000,0.970,0.950,0.930
2022-07-30,0.900,0.880,0.860,0.840
2022-07-31,0.800,0.750,0.730,0.700
