Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-12-01,1.300,1.250,1.200,1.150
2017-12-02,1.600,1.550,1.500,1.450
2017-12-03,1.800,1.650,1.600,1.550
2017-12-04,1.400,1.270,1.200,1.150
2017-12-05,1.500,1.450,1.400,1.350
2017-12-06,1.480,1.340,1.280,1.150
2017-12-07,1.300,1.250,1.200,1.100
2017-12-08,1.050,1.000,0.950,0.900
2017-12-09,1.200,1.150,1.100,1.050
2017-12-10,1.350,1.300,1.250,1.200
2017-12-11,1.600,1.850,2.100,2.800
2017-12-12,1.800,1.750,1.700,1.650
2017-12-13,1.450,1.350,1.300,1.250
2017-12-14,1.200,1.150,1.100,1.050
2017-12-15,1.380,1.300,1.250,1.200
2017-12-16,1.400,1.350,1.280,1.220
2017-12-17,1.260,1.180,1.140,1.080
2017-12-18,1.200,1.170,1.150,1.100
2017-12-19,1.180,1.200,1.250,1.150
2017-12-20,1.080,1.050,1.000,0.970
2017-12-21,1.100,1.070,1.050,1.030
2017-12-22,1.150,1.100,1.070,1.050
2017-12-23,1.080,1.050,1.020,0.980
2017-12-24,0.950,0.930,0.900,0.880
2017-12-25,1.180,1.150,1.130,1.100
2017-12-26,1.300,1.270,1.240,1.200
2017-12-27,2.600,2.450,2.300,2.100
2017-12-28,1.800,1.650,1.550,1.400
2017-12-29,3.150,3.000,2.500,2.200
2017-12-30,2.600,2.800,2.550,2.300
2017-12-31,1.800,1.600,2.100,2.000
