Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-02-01,1.350,1.270,1.250,1.200
2020-02-02,1.580,1.470,1.440,1.380
2020-02-03,1.650,1.480,1.560,1.380
2020-02-04,1.850,1.600,1.450,1.400
2020-02-05,1.750,1.500,1.350,1.200
2020-02-06,1.900,1.800,1.700,1.600
2020-02-07,2.500,2.300,1.850,1.750
2020-02-08,1.550,1.450,1.400,1.350
2020-02-09,4.000,4.800,3.200,2.400
2020-02-10,2.600,2.350,2.200,2.000
2020-02-11,2.750,2.550,2.400,2.200
2020-02-12,1.800,1.670,1.550,1.500
2020-02-13,2.100,1.850,1.650,1.550
2020-02-14,1.750,1.660,1.440,1.380
2020-02-15,1.550,1.450,1.400,1.350
2020-02-16,1.600,1.500,1.300,1.250
2020-02-17,1.350,1.300,1.250,1.200
2020-02-18,1.400,1.550,1.600,1.460
2020-02-19,1.300,1.270,1.240,1.200
2020-02-20,1.450,1.400,1.300,1.250
2020-02-21,2.200,2.000,1.800,1.600
2020-02-22,2.700,3.000,3.150,2.000
2020-02-23,1.600,1.450,1.300,1.250
2020-02-24,1.200,1.170,1.150,1.080
2020-02-25,1.180,1.130,1.100,1.050
2020-02-26,1.800,1.750,1.700,1.600
2020-02-27,2.200,1.850,1.650,1.550
2020-02-28,1.700,1.660,1.470,1.350
2020-02-29,1.550,1.500,1.450,1.400
