Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-09-01,0.900,0.880,0.860,0.840
2021-09-02,0.820,0.800,0.780,0.760
2021-09-03,0.730,0.710,0.700,0.690
2021-09-04,0.670,0.650,0.630,0.610
2021-09-05,0.590,0.580,0.570,0.560
2021-09-06,0.550,0.660,0.750,0.800
2021-09-07,0.780,0.760,0.740,0.720
2021-09-08,0.700,0.680,0.650,0.630
2021-09-09,0.850,0.830,0.800,0.770
2021-09-10,2.500,2.800,3.000,2.300
2021-09-11,1.800,1.650,1.550,1.400
2021-09-12,1.300,1.250,1.200,1.150
2021-09-13,1.100,1.080,1.050,1.030
2021-09-14,1.000,0.970,0.950,0.930
2021-09-15,0.900,0.880,0.860,0.840
2021-09-16,1.000,0.950,0.930,0.910
2021-09-17,1.100,1.050,1.000,0.950
2021-09-18,0.900,0.880,0.860,0.840
2021-09-19,0.800,0.780,0.750,0.730
2021-09-20,0.700,0.680,0.660,0.640
2021-09-21,0.620,0.600,0.570,0.550
2021-09-22,0.520,0.500,0.480,0.460
2021-09-23,0.750,0.730,0.700,0.680
2021-09-24,0.650,0.630,0.600,0.580
2021-09-25,0.570,0.560,0.550,0.540
2021-09-26,0.530,0.530,0.530,0.530
2021-09-27,0.530,0.520,0.520,0.520
2021-09-28,0.510,0.510,0.510,0.510
2021-09-29,0.510,0.500,0.500,0.500
2021-09-30,0.780,0.730,0.710,0.690
