Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2026-03-01,0.940,0.850,0.830,0.850
2026-03-02,0.980,0.850,0.850,0.800
2026-03-03,0.850,0.900,0.850,0.800
2026-03-04,0.780,0.980,1.360,0.810
2026-03-05,1.170,1.180,1.050,0.980
2026-03-06,0.890,0.870,0.850,0.860
2026-03-07,0.870,0.990,0.960,0.920
2026-03-08,0.860,0.940,0.960,0.860
2026-03-09,0.970,0.990,1.050,1.100
2026-03-10,0.950,0.960,0.920,0.910
2026-03-11,1.050,1.630,1.290,1.200
2026-03-12,1.410,1.190,1.160,1.250
2026-03-13,1.360,1.600,1.530,1.640
2026-03-14,1.640,1.310,1.180,1.090
2026-03-15,1.000,0.980,0.960,1.050
2026-03-16,0.940,0.920,0.900,0.970
2026-03-17,1.120,1.000,0.950,0.970
2026-03-18,0.980,0.910,0.870,0.900
2026-03-19,0.960,1.330,1.180,1.070
2026-03-20,0.980,0.940,0.900,1.070
2026-03-21,0.810,1.250,1.070,1.010
2026-03-22,0.850,0.850,0.920,0.850
2026-03-23,1.070,0.830,0.830,0.850
2026-03-24,0.870,0.850,0.890,0.880
2026-03-25,0.860,0.800,0.800,0.950
2026-03-26,1.730,1.630,1.500,1.390
2026-03-27,0.970,0.980,0.980,0.940
2026-03-28,1.220,0.990,0.980,0.950
2026-03-29,1.250,1.470,1.280,1.150
2026-03-30,0.910,0.980,0.970,0.920
2026-03-31,0.900,0.980,0.930,0.930
