Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2025-03-01,0.770,0.720,0.700,0.930
2025-03-02,1.100,1.150,1.130,0.990
2025-03-03,0.770,0.750,0.840,0.850
2025-03-04,0.760,0.730,0.720,0.720
2025-03-05,0.760,0.950,0.950,0.980
2025-03-06,0.840,0.770,0.760,1.260
2025-03-07,0.710,0.980,0.940,0.870
2025-03-08,1.340,1.300,1.410,1.430
2025-03-09,0.890,0.870,0.830,0.820
2025-03-10,0.830,0.980,1.680,1.340
2025-03-11,1.020,1.010,0.870,0.860
2025-03-12,1.310,1.110,0.970,0.930
2025-03-13,1.080,1.080,1.050,1.060
2025-03-14,1.130,1.170,1.570,1.930
2025-03-15,0.980,0.960,0.930,0.920
2025-03-16,0.790,0.810,0.900,2.040
2025-03-17,1.150,1.010,0.940,0.880
2025-03-18,0.790,0.780,0.770,0.780
2025-03-19,1.620,1.500,1.500,0.950
2025-03-20,0.780,0.770,0.740,0.730
2025-03-21,0.730,0.710,0.690,0.690
2025-03-22,0.700,0.650,0.630,0.700
2025-03-23,0.700,0.600,0.580,0.640
2025-03-24,1.340,1.110,0.850,0.780
2025-03-25,1.190,0.900,0.800,0.870
2025-03-26,0.880,1.040,1.680,1.300
2025-03-27,0.790,0.770,0.750,0.860
2025-03-28,1.030,0.830,0.830,0.870
2025-03-29,1.020,1.040,1.270,1.360
2025-03-30,0.870,0.840,0.850,0.870
2025-03-31,0.840,0.750,0.730,0.730
