Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2024-12-01,0.880,0.860,0.840,0.780
2024-12-02,0.750,0.740,0.730,0.710
2024-12-03,0.790,0.770,0.750,1.100
2024-12-04,1.060,0.900,0.850,1.140
2024-12-05,2.240,1.900,1.700,1.110
2024-12-06,0.930,0.880,0.830,1.150
2024-12-07,0.890,0.850,0.800,1.000
2024-12-08,1.000,0.900,0.850,0.800
2024-12-09,1.190,1.150,1.000,0.840
2024-12-10,0.840,0.810,0.780,0.780
2024-12-11,0.780,0.770,0.750,0.740
2024-12-12,0.710,0.700,0.690,0.690
2024-12-13,0.900,0.850,0.800,0.770
2024-12-14,0.850,1.100,0.950,0.850
2024-12-15,0.850,0.830,0.800,0.760
2024-12-16,0.910,0.800,0.750,0.950
2024-12-17,0.850,0.810,0.780,0.760
2024-12-18,0.730,0.720,0.710,0.690
2024-12-19,0.810,0.770,0.730,0.840
2024-12-20,0.770,0.720,0.700,0.650
2024-12-21,1.110,0.900,0.880,0.860
2024-12-22,1.290,1.200,1.150,1.480
2024-12-23,2.940,2.450,1.630,1.490
2024-12-24,0.980,0.950,0.930,0.850
2024-12-25,0.800,0.780,0.760,0.740
2024-12-26,1.950,1.320,1.200,1.040
2024-12-27,0.930,0.000,0.760,0.000
2024-12-28,0.000,0.600,0.000,0.690
2024-12-29,0.680,0.670,0.000,0.000
2024-12-30,0.600,0.580,0.590,0.590
2024-12-31,0.680,0.610,0.580,0.600
