Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-12-01,0.980,0.850,0.890,0.860
2023-12-02,0.880,0.860,0.840,0.820
2023-12-03,0.840,0.820,0.800,0.790
2023-12-04,1.150,1.100,1.050,1.000
2023-12-05,1.250,1.200,1.100,0.950
2023-12-06,1.150,1.050,1.000,0.970
2023-12-07,0.880,0.840,0.820,0.800
2023-12-08,0.750,0.850,0.950,1.630
2023-12-09,0.900,0.860,0.830,0.800
2023-12-10,0.980,0.950,0.920,0.900
2023-12-11,0.850,0.830,0.800,0.780
2023-12-12,2.130,1.500,1.200,1.140
2023-12-13,2.220,1.850,1.250,1.120
2023-12-14,1.080,1.350,1.550,1.240
2023-12-15,0.950,0.900,0.850,0.800
2023-12-16,1.150,1.850,2.000,2.300
2023-12-17,1.550,1.400,1.250,1.050
2023-12-18,0.850,0.830,0.800,0.780
2023-12-19,0.700,0.680,0.660,0.650
2023-12-20,1.180,1.500,1.350,1.100
2023-12-21,0.800,0.750,0.730,0.700
2023-12-22,1.350,1.100,0.900,0.850
2023-12-23,0.700,0.680,0.650,0.630
2023-12-24,0.680,0.660,0.640,0.620
2023-12-25,0.950,0.900,0.880,0.860
2023-12-26,0.750,0.900,0.880,0.860
2023-12-27,0.900,0.850,0.800,1.280
2023-12-28,0.860,0.830,0.810,0.780
2023-12-29,0.760,0.720,0.740,0.700
2023-12-30,0.680,0.670,0.660,0.650
2023-12-31,0.830,1.300,1.650,1.150
