Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-10-01,0.800,0.780,0.770,0.760
2017-10-02,0.740,0.730,0.720,0.710
2017-10-03,0.700,0.690,0.680,0.670
2017-10-04,2.000,1.850,1.650,1.550
2017-10-05,1.300,1.250,1.200,1.150
2017-10-06,1.450,1.400,1.350,1.300
2017-10-07,1.200,1.250,1.200,1.150
2017-10-08,1.100,1.050,1.000,0.950
2017-10-09,1.050,1.000,0.970,0.950
2017-10-10,0.900,0.880,0.860,0.840
2017-10-11,0.980,0.950,0.930,0.900
2017-10-12,1.050,1.000,0.970,0.930
2017-10-13,0.900,0.870,0.850,0.820
2017-10-14,1.300,1.250,1.200,1.150
2017-10-15,2.800,2.500,2.200,2.100
2017-10-16,1.850,1.750,1.700,1.600
2017-10-17,1.550,1.450,1.400,1.350
2017-10-18,1.250,1.200,1.100,1.050
2017-10-19,1.000,0.970,0.950,0.930
2017-10-20,0.900,0.880,0.860,0.840
2017-10-21,2.800,2.550,2.350,2.000
2017-10-22,1.800,1.600,1.550,1.450
2017-10-23,1.300,1.250,1.200,1.150
2017-10-24,1.500,1.450,1.400,1.350
2017-10-25,2.000,1.800,1.650,1.600
2017-10-26,1.450,1.370,1.300,1.250
2017-10-27,1.400,1.350,1.200,1.150
2017-10-28,1.470,1.400,1.370,1.350
2017-10-29,1.300,1.250,1.200,1.100
2017-10-30,1.440,1.380,1.300,1.250
2017-10-31,1.150,1.100,1.050,1.000
