Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-09-01,0.380,0.370,0.370,0.370
2023-09-02,0.360,0.360,0.360,0.360
2023-09-03,0.560,0.550,0.540,0.530
2023-09-04,0.650,0.850,0.900,0.870
2023-09-05,0.750,0.700,0.650,0.600
2023-09-06,0.800,0.650,0.600,0.570
2023-09-07,0.550,0.550,0.550,0.550
2023-09-08,0.500,0.490,0.480,0.470
2023-09-09,0.470,0.470,0.470,0.470
2023-09-10,0.460,0.460,0.460,0.460
2023-09-11,0.450,0.450,0.450,0.450
2023-09-12,0.440,0.440,0.440,0.440
2023-09-13,0.430,0.430,0.430,0.430
2023-09-14,0.450,0.470,0.490,0.460
2023-09-15,0.570,0.560,0.550,0.540
2023-09-16,0.530,0.530,0.530,0.530
2023-09-17,0.520,0.520,0.520,0.520
2023-09-18,0.510,0.510,0.510,0.510
2023-09-19,0.490,0.480,0.470,0.950
2023-09-20,0.900,0.800,0.700,0.600
2023-09-21,0.500,0.490,0.480,0.470
2023-09-22,0.460,0.460,0.460,0.460
2023-09-23,0.450,0.450,0.450,0.450
2023-09-24,0.440,0.440,0.440,0.440
2023-09-25,0.450,0.450,0.450,0.450
2023-09-26,0.440,0.440,0.440,0.440
2023-09-27,0.440,0.440,0.440,0.440
2023-09-28,0.430,0.430,0.430,0.430
2023-09-29,0.450,0.550,0.580,0.800
2023-09-30,0.750,0.700,0.650,0.600
