Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-06-01,0.840,0.820,0.800,0.770
2023-06-02,0.980,0.870,0.850,0.830
2023-06-03,0.800,0.780,0.760,0.740
2023-06-04,0.720,0.700,0.690,0.680
2023-06-05,0.670,0.660,0.650,0.640
2023-06-06,0.500,0.480,0.470,0.460
2023-06-07,0.600,0.580,0.560,0.540
2023-06-08,0.800,0.750,0.700,0.650
2023-06-09,0.550,0.530,0.510,0.500
2023-06-10,0.490,0.600,0.680,0.640
2023-06-11,1.000,0.950,0.900,0.850
2023-06-12,0.980,0.950,0.930,0.900
2023-06-13,1.050,1.000,0.970,0.930
2023-06-14,1.150,1.080,1.000,0.950
2023-06-15,0.900,0.870,0.850,0.820
2023-06-16,0.780,0.750,0.730,0.700
2023-06-17,0.680,0.670,0.660,0.650
2023-06-18,0.600,0.590,0.580,0.570
2023-06-19,0.560,0.550,0.540,0.530
2023-06-20,0.580,0.570,0.560,0.550
2023-06-21,0.600,0.590,0.580,0.580
2023-06-22,0.580,0.580,0.580,0.580
2023-06-23,0.590,0.590,0.590,0.590
2023-06-24,0.570,0.570,0.570,0.570
2023-06-25,0.580,0.580,0.580,0.580
2023-06-26,0.570,0.570,0.570,0.570
2023-06-27,0.560,0.560,0.560,0.560
2023-06-28,0.550,0.550,0.550,0.550
2023-06-29,0.590,0.580,0.580,0.580
2023-06-30,0.680,0.670,0.660,0.650
