Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.54'',Longitud :,78°11'19.55'',Altitud :,616 msnm.
Tipo :,EHA - Hidrológica,Código :,472B2370
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2023/04/16,15:00,1.29,0.0
2023/04/16,16:00,1.29,0.0
2023/04/16,17:00,1.29,0.0
2023/04/16,18:00,1.32,8.0
2023/04/16,19:00,1.31,26.3
2023/04/16,20:00,1.33,0.9
2023/04/16,21:00,1.32,0.6
2023/04/16,22:00,1.31,0.9
2023/04/16,23:00,1.32,0.0
2023/04/17,00:00,1.33,4.5
2023/04/17,01:00,1.42,9.0
2023/04/17,02:00,1.37,7.1
2023/04/17,03:00,1.40,2.7
2023/04/17,04:00,1.40,3.4
2023/04/17,05:00,1.43,4.5
2023/04/17,06:00,1.45,2.2
2023/04/17,07:00,1.48,0.1
2023/04/17,08:00,1.66,0.2
2023/04/17,09:00,1.70,0.0
2023/04/17,10:00,1.70,0.0
2023/04/17,11:00,1.65,0.0
2023/04/17,12:00,1.64,0.0
2023/04/17,13:00,1.60,0.0
2023/04/17,14:00,1.57,0.0
2023/04/17,15:00,1.54,0.0
2023/04/17,16:00,1.48,0.0
2023/04/17,17:00,1.47,0.0
2023/04/17,18:00,1.46,0.0
2023/04/17,19:00,1.46,0.0
2023/04/17,20:00,1.49,0.0
2023/04/17,21:00,1.48,0.0
2023/04/17,22:00,1.50,0.0
2023/04/17,23:00,1.50,0.0
2023/04/18,00:00,1.50,0.0
2023/04/18,01:00,1.50,0.0
2023/04/18,02:00,1.50,0.0
2023/04/18,03:00,1.50,0.0
2023/04/18,04:00,1.48,0.0
2023/04/18,05:00,1.49,0.0
2023/04/18,06:00,1.48,0.0
2023/04/18,07:00,1.47,0.0
2023/04/18,09:00,1.48,0.0
2023/04/20,17:00,1.34,0.0
2023/04/20,18:00,1.34,0.0
2023/04/20,19:00,1.39,0.0
2023/04/20,20:00,1.45,0.0
2023/04/20,21:00,1.43,0.4
2023/04/20,22:00,1.42,2.2
2023/04/20,23:00,1.41,0.1
2023/04/21,00:00,1.42,0.0
2023/04/21,01:00,1.43,0.0
2023/04/21,02:00,1.46,0.0
2023/04/21,03:00,1.48,0.1
2023/04/21,04:00,1.47,0.0
2023/04/21,05:00,1.48,0.0
2023/04/21,06:00,1.49,0.0
2023/04/21,07:00,1.49,3.6
2023/04/21,08:00,1.48,0.0
2023/04/21,09:00,1.50,0.3
2023/04/21,10:00,1.54,2.5
2023/04/21,11:00,1.53,0.0
2023/04/21,12:00,1.51,0.0
2023/04/21,13:00,1.50,0.0
2023/04/21,14:00,1.48,1.2
2023/04/21,15:00,1.49,0.7
2023/04/21,16:00,1.48,0.5
2023/04/21,17:00,1.55,0.1
2023/04/21,18:00,1.82,0.0
