Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.54'',Longitud :,78°11'19.55'',Altitud :,616 msnm.
Tipo :,EHA - Hidrológica,Código :,472B2370
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2023/07/08,02:00,1.01,0.0
2023/07/08,03:00,1.01,0.0
2023/07/08,04:00,1.01,0.0
2023/07/08,05:00,1.02,0.4
2023/07/08,06:00,1.02,0.4
2023/07/08,07:00,1.02,0.4
2023/07/08,08:00,1.03,0.1
2023/07/08,09:00,1.04,0.0
2023/07/08,10:00,1.04,0.0
2023/07/08,11:00,1.04,0.0
2023/07/08,12:00,1.04,0.0
2023/07/08,13:00,1.04,4.3
2023/07/08,14:00,1.03,3.5
2023/07/08,15:00,1.04,2.6
2023/07/08,16:00,1.04,0.7
2023/07/08,17:00,1.04,0.2
2023/07/08,18:00,1.05,0.0
2023/07/08,19:00,1.07,0.0
2023/07/08,20:00,1.07,0.0
2023/07/08,21:00,1.08,0.0
2023/07/08,22:00,1.08,0.0
2023/07/08,23:00,1.08,0.0
2023/07/09,00:00,1.08,0.0
2023/07/09,01:00,1.08,0.0
2023/07/09,02:00,1.08,0.0
2023/07/09,03:00,1.07,0.0
2023/07/09,04:00,1.06,0.0
2023/07/09,05:00,1.06,0.0
2023/07/09,06:00,1.07,0.0
2023/07/09,07:00,1.07,0.0
2023/07/09,08:00,1.07,0.0
2023/07/09,09:00,1.06,0.0
2023/07/09,10:00,1.06,0.0
2023/07/09,11:00,1.06,0.0
2023/07/09,12:00,1.05,0.0
2023/07/09,13:00,1.03,0.0
2023/07/09,14:00,1.01,0.0
2023/07/09,15:00,1.00,0.0
2023/07/09,16:00,1.00,0.0
2023/07/09,17:00,1.00,0.0
2023/07/09,18:00,1.00,0.0
2023/07/09,19:00,1.01,0.0
2023/07/09,20:00,1.02,0.0
2023/07/09,21:00,1.04,0.0
2023/07/09,22:00,1.05,0.0
2023/07/09,23:00,1.06,0.0
2023/07/10,00:00,1.06,0.0
2023/07/10,01:00,1.06,0.0
2023/07/10,02:00,1.05,0.0
2023/07/10,03:00,1.04,0.0
2023/07/10,04:00,1.04,0.0
2023/07/10,05:00,1.04,0.0
2023/07/10,06:00,1.04,0.0
2023/07/10,07:00,1.05,0.0
2023/07/10,08:00,1.05,0.0
2023/07/10,09:00,1.05,0.0
2023/07/10,10:00,1.05,0.0
2023/07/10,11:00,1.04,0.0
2023/07/10,12:00,1.03,0.0
2023/07/10,13:00,1.02,0.0
2023/07/10,14:00,1.00,0.0
2023/07/10,15:00,0.99,0.0
