Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.54'',Longitud :,78°11'19.55'',Altitud :,616 msnm.
Tipo :,EHA - Hidrológica,Código :,472B2370
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/10/01,09:00,S/D,0.0
2025/10/01,11:00,S/D,0.0
2025/10/01,12:00,S/D,0.0
2025/10/01,13:00,S/D,0.0
2025/10/01,14:00,S/D,0.0
2025/10/03,16:00,S/D,0.0
2025/10/04,09:00,S/D,0.0
2025/10/04,10:00,S/D,0.0
2025/10/04,11:00,S/D,0.0
2025/10/04,12:00,S/D,0.0
2025/10/04,13:00,S/D,0.0
2025/10/04,14:00,S/D,1.9
2025/10/04,15:00,S/D,1.3
2025/10/04,16:00,S/D,0.1
2025/10/04,17:00,S/D,0.0
2025/10/04,18:00,S/D,0.2
2025/10/04,19:00,S/D,0.0
2025/10/04,20:00,S/D,0.0
2025/10/05,08:00,S/D,0.0
2025/10/05,09:00,S/D,0.0
2025/10/05,10:00,S/D,0.0
2025/10/05,11:00,S/D,0.0
2025/10/05,12:00,S/D,0.0
2025/10/05,13:00,S/D,0.0
2025/10/05,14:00,S/D,0.0
2025/10/05,15:00,S/D,0.1
2025/10/05,16:00,S/D,0.0
2025/10/05,17:00,S/D,0.0
2025/10/05,18:00,S/D,0.0
2025/10/05,19:00,S/D,0.0
2025/10/06,08:00,S/D,0.0
2025/10/06,09:00,S/D,0.0
2025/10/06,10:00,S/D,0.0
2025/10/06,11:00,S/D,0.0
2025/10/06,12:00,S/D,0.0
2025/10/06,13:00,S/D,0.0
2025/10/06,14:00,S/D,0.0
2025/10/06,15:00,S/D,0.0
2025/10/06,16:00,S/D,0.1
2025/10/06,17:00,S/D,0.0
2025/10/06,18:00,S/D,0.0
2025/10/06,19:00,S/D,0.0
2025/10/07,08:00,S/D,0.0
2025/10/07,09:00,S/D,0.0
2025/10/07,10:00,S/D,0.0
2025/10/07,11:00,S/D,0.0
2025/10/07,12:00,S/D,0.0
2025/10/07,13:00,S/D,0.0
2025/10/07,14:00,S/D,0.0
2025/10/07,15:00,S/D,0.0
2025/10/07,16:00,S/D,0.0
2025/10/08,09:00,S/D,0.0
2025/10/08,10:00,S/D,0.0
2025/10/08,11:00,S/D,0.0
2025/10/08,12:00,S/D,0.0
2025/10/08,13:00,S/D,0.0
2025/10/08,14:00,S/D,0.0
2025/10/08,15:00,S/D,0.0
2025/10/08,16:00,S/D,0.0
2025/10/09,08:00,S/D,0.0
2025/10/09,09:00,S/D,0.0
2025/10/09,10:00,S/D,0.0
2025/10/09,11:00,S/D,0.0
2025/10/09,12:00,S/D,0.0
2025/10/09,13:00,S/D,0.0
2025/10/09,14:00,S/D,0.0
2025/10/09,15:00,S/D,0.0
2025/10/09,16:00,S/D,0.8
2025/10/10,10:00,S/D,0.0
2025/10/10,11:00,S/D,0.0
2025/10/10,12:00,S/D,0.0
2025/10/10,13:00,S/D,0.0
2025/10/10,14:00,S/D,0.0
2025/10/10,15:00,S/D,0.0
2025/10/10,16:00,S/D,0.8
2025/10/11,09:00,S/D,0.0
2025/10/11,10:00,S/D,0.0
2025/10/11,11:00,S/D,0.0
2025/10/11,12:00,S/D,0.0
2025/10/11,13:00,S/D,0.0
2025/10/11,14:00,S/D,0.0
2025/10/11,15:00,S/D,0.0
2025/10/11,16:00,S/D,0.0
2025/10/11,17:00,S/D,0.0
2025/10/12,09:00,S/D,0.0
2025/10/12,10:00,S/D,0.0
2025/10/12,11:00,S/D,0.0
2025/10/12,12:00,S/D,0.0
2025/10/12,13:00,S/D,0.0
2025/10/12,14:00,S/D,0.7
2025/10/13,09:00,S/D,0.0
2025/10/13,10:00,S/D,0.0
2025/10/13,11:00,S/D,0.0
2025/10/13,12:00,S/D,0.0
2025/10/13,13:00,S/D,0.0
2025/10/13,14:00,S/D,0.0
2025/10/13,15:00,S/D,0.0
2025/10/14,08:00,S/D,0.0
2025/10/14,09:00,S/D,0.0
2025/10/14,10:00,S/D,0.0
2025/10/14,11:00,S/D,0.0
2025/10/14,12:00,S/D,0.0
2025/10/14,13:00,S/D,0.0
2025/10/14,14:00,S/D,0.0
2025/10/14,15:00,S/D,0.0
2025/10/14,16:00,S/D,0.0
2025/10/15,09:00,S/D,0.0
2025/10/15,10:00,S/D,0.0
2025/10/15,11:00,S/D,0.0
2025/10/15,12:00,S/D,0.0
2025/10/15,13:00,S/D,0.0
2025/10/15,14:00,S/D,0.0
2025/10/15,15:00,S/D,0.0
2025/10/15,16:00,S/D,0.0
2025/10/16,09:00,S/D,0.0
2025/10/16,10:00,S/D,0.0
2025/10/16,11:00,S/D,0.0
2025/10/16,12:00,S/D,0.0
2025/10/16,13:00,S/D,0.0
2025/10/16,14:00,S/D,0.0
2025/10/16,15:00,S/D,0.0
2025/10/16,16:00,S/D,0.0
2025/10/17,09:00,S/D,0.0
2025/10/17,10:00,S/D,0.0
2025/10/17,11:00,S/D,0.0
2025/10/17,12:00,S/D,0.0
2025/10/17,13:00,S/D,0.0
2025/10/17,14:00,S/D,1.0
2025/10/17,15:00,S/D,4.1
2025/10/17,16:00,S/D,0.0
2025/10/18,09:00,S/D,0.0
2025/10/18,10:00,S/D,0.0
2025/10/18,11:00,S/D,0.0
2025/10/18,12:00,S/D,0.0
2025/10/18,13:00,S/D,0.0
2025/10/18,14:00,S/D,0.0
2025/10/18,15:00,S/D,0.0
2025/10/19,08:00,S/D,0.0
2025/10/19,09:00,S/D,0.0
2025/10/19,10:00,S/D,0.0
2025/10/19,11:00,S/D,0.0
2025/10/19,12:00,S/D,0.0
2025/10/19,13:00,S/D,0.0
2025/10/19,14:00,S/D,0.0
2025/10/19,15:00,S/D,0.0
2025/10/19,16:00,S/D,0.0
2025/10/20,08:00,S/D,0.0
2025/10/20,09:00,S/D,0.0
2025/10/20,10:00,S/D,0.0
2025/10/20,11:00,S/D,0.0
2025/10/20,12:00,S/D,0.0
2025/10/20,13:00,S/D,0.0
2025/10/20,14:00,S/D,0.0
2025/10/20,15:00,S/D,0.0
2025/10/20,16:00,S/D,0.0
2025/10/21,09:00,S/D,0.0
2025/10/21,10:00,S/D,0.0
2025/10/21,11:00,S/D,0.0
2025/10/21,12:00,S/D,0.0
2025/10/21,13:00,S/D,0.0
2025/10/21,15:00,S/D,0.0
2025/10/22,09:00,S/D,0.0
2025/10/22,10:00,S/D,0.0
2025/10/22,11:00,S/D,0.0
2025/10/22,12:00,S/D,0.0
2025/10/22,13:00,S/D,0.0
2025/10/22,14:00,S/D,0.0
2025/10/22,15:00,S/D,14.4
2025/10/22,16:00,S/D,14.4
2025/10/23,09:00,S/D,0.0
2025/10/23,10:00,S/D,0.0
2025/10/23,11:00,S/D,0.0
2025/10/23,12:00,S/D,0.0
2025/10/23,13:00,S/D,0.0
2025/10/23,14:00,S/D,0.0
2025/10/23,15:00,S/D,0.0
2025/10/24,09:00,S/D,0.0
2025/10/24,10:00,S/D,0.0
2025/10/24,11:00,S/D,0.0
2025/10/24,12:00,S/D,0.0
2025/10/24,13:00,S/D,0.0
2025/10/24,14:00,S/D,0.0
2025/10/25,08:00,S/D,0.0
2025/10/25,09:00,S/D,0.0
2025/10/25,10:00,S/D,0.0
2025/10/25,11:00,S/D,0.0
2025/10/25,12:00,S/D,0.0
2025/10/25,13:00,S/D,0.0
2025/10/25,14:00,S/D,0.0
2025/10/25,15:00,S/D,0.0
2025/10/26,09:00,S/D,0.0
2025/10/26,10:00,S/D,0.0
2025/10/26,11:00,S/D,0.0
2025/10/26,12:00,S/D,0.0
2025/10/26,13:00,S/D,0.0
2025/10/26,14:00,S/D,0.0
2025/10/26,15:00,S/D,0.0
2025/10/27,10:00,S/D,0.0
2025/10/27,12:00,S/D,0.0
2025/10/27,14:00,S/D,0.0
2025/10/28,10:00,S/D,0.0
2025/10/28,11:00,S/D,0.0
2025/10/28,12:00,S/D,0.0
2025/10/28,13:00,S/D,0.0
2025/10/28,15:00,S/D,0.0
2025/10/30,10:00,S/D,0.0
2025/10/30,11:00,S/D,0.0
2025/10/30,12:00,S/D,0.0
2025/10/30,13:00,S/D,0.0
2025/10/30,14:00,S/D,0.0
2025/10/31,09:00,S/D,0.0
2025/10/31,10:00,S/D,0.0
2025/10/31,11:00,S/D,0.0
2025/10/31,12:00,S/D,0.0
2025/10/31,13:00,S/D,0.0
2025/10/31,14:00,S/D,0.0
2025/10/31,15:00,S/D,0.0
