Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : PUENTE SALINAS AMOJAO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,ARAMANGO
Latitud :,5°27'3.46'',Longitud :,78°29'21.84'',Altitud :,381 msnm.
Tipo :,EHA - Hidrológica,Código :,472B55E0
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/06/01,00:00,4.87,0.0
2024/06/01,01:00,4.85,0.0
2024/06/01,02:00,4.83,0.0
2024/06/01,03:00,4.80,0.0
2024/06/01,04:00,4.78,0.0
2024/06/01,05:00,4.81,0.0
2024/06/01,06:00,4.81,0.0
2024/06/01,07:00,4.79,0.0
2024/06/01,08:00,4.83,0.0
2024/06/01,09:00,4.82,0.0
2024/06/01,10:00,4.80,0.0
2024/06/01,11:00,4.79,0.0
2024/06/01,12:00,4.82,0.0
2024/06/01,13:00,4.80,0.0
2024/06/01,14:00,4.75,0.0
2024/06/01,15:00,4.73,0.0
2024/06/01,16:00,4.79,0.0
2024/06/01,17:00,4.78,0.0
2024/06/01,18:00,4.74,0.0
2024/06/01,19:00,4.78,0.0
2024/06/01,20:00,4.75,0.0
2024/06/01,21:00,4.73,0.0
2024/06/01,22:00,4.76,0.0
2024/06/01,23:00,4.73,0.0
2024/06/02,00:00,4.71,0.0
2024/06/02,01:00,4.72,0.0
2024/06/02,02:00,4.70,0.0
2024/06/02,03:00,4.75,0.0
2024/06/02,04:00,4.70,0.0
2024/06/02,05:00,4.71,0.0
2024/06/02,06:00,4.70,0.0
2024/06/02,07:00,4.73,0.0
2024/06/02,08:00,4.69,0.0
2024/06/02,09:00,4.71,0.0
2024/06/02,10:00,4.69,0.0
2024/06/02,11:00,4.69,0.0
2024/06/02,12:00,4.71,0.0
2024/06/02,13:00,4.68,0.0
2024/06/02,14:00,4.69,0.0
2024/06/02,15:00,4.71,0.0
2024/06/02,16:00,4.66,0.0
2024/06/02,17:00,4.67,0.0
2024/06/02,18:00,4.66,0.0
2024/06/02,19:00,4.66,0.0
2024/06/02,20:00,4.67,0.0
2024/06/02,21:00,4.67,0.0
2024/06/02,22:00,4.64,0.0
2024/06/02,23:00,4.64,0.0
2024/06/03,00:00,4.61,0.0
2024/06/03,01:00,4.64,0.0
2024/06/03,02:00,4.63,0.0
2024/06/03,03:00,4.66,0.0
2024/06/03,04:00,4.62,0.0
2024/06/03,05:00,4.61,0.0
2024/06/03,06:00,4.63,0.0
2024/06/03,07:00,4.61,0.0
2024/06/03,08:00,4.60,0.0
2024/06/03,09:00,4.63,0.0
2024/06/03,10:00,4.64,0.0
2024/06/03,11:00,4.61,0.0
2024/06/03,12:00,4.62,0.0
2024/06/03,13:00,4.61,0.0
2024/06/03,14:00,4.61,0.0
2024/06/03,15:00,4.60,0.0
2024/06/03,16:00,4.61,0.0
2024/06/03,17:00,4.61,0.0
2024/06/03,18:00,4.58,0.0
2024/06/03,19:00,4.55,0.1
2024/06/03,20:00,4.57,0.0
2024/06/03,21:00,4.59,0.0
2024/06/03,22:00,4.51,0.0
2024/06/03,23:00,4.52,0.0
2024/06/04,00:00,4.54,0.0
2024/06/04,01:00,4.56,0.0
2024/06/04,02:00,4.53,0.0
2024/06/04,03:00,4.53,0.0
2024/06/04,04:00,4.52,0.0
2024/06/04,05:00,4.55,0.0
2024/06/04,06:00,4.52,0.0
2024/06/04,07:00,4.52,0.0
2024/06/04,08:00,4.52,0.0
2024/06/04,09:00,4.53,0.0
2024/06/04,10:00,4.56,0.0
2024/06/04,11:00,4.55,0.0
2024/06/04,12:00,4.54,0.0
2024/06/04,13:00,4.55,0.0
2024/06/04,14:00,4.50,0.0
2024/06/04,15:00,4.49,0.0
