Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : NARANJITO
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°49'10.85'',Longitud :,78°16'33.54'',Altitud :,500 msnm.
Tipo :,EHA - Hidrológica,Código :,220907
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/03/01,16:00,4.48,0.0
2024/03/01,20:00,4.29,0.0
2024/03/01,21:00,4.24,0.0
2024/03/01,22:00,4.19,0.0
2024/03/02,06:00,4.03,0.0
2024/03/02,07:00,4.00,0.0
2024/03/02,09:00,3.96,0.0
2024/03/02,10:00,3.92,0.0
2024/03/02,11:00,3.92,0.0
2024/03/02,12:00,3.92,0.0
2024/03/02,13:00,3.90,0.0
2024/03/02,14:00,3.91,0.0
2024/03/02,15:00,3.94,0.0
2024/03/02,16:00,3.99,0.0
2024/03/02,17:00,4.02,0.0
2024/03/02,18:00,4.03,0.0
2024/03/02,19:00,4.04,0.0
2024/03/02,20:00,4.10,0.0
2024/03/02,21:00,4.29,0.0
2024/03/02,22:00,4.29,0.0
2024/03/02,23:00,4.25,0.0
2024/03/03,00:00,4.23,0.0
2024/03/03,01:00,4.21,0.0
2024/03/03,02:00,4.23,0.0
2024/03/03,03:00,4.30,0.0
2024/03/03,04:00,4.31,0.0
2024/03/03,05:00,4.30,0.0
2024/03/03,06:00,4.28,0.0
2024/03/03,07:00,4.23,0.0
2024/03/03,08:00,4.19,0.0
2024/03/03,09:00,4.17,0.0
2024/03/03,10:00,4.14,0.0
2024/03/03,11:00,4.13,0.0
2024/03/03,12:00,4.09,0.0
2024/03/03,13:00,4.08,0.0
2024/03/03,14:00,4.06,0.0
2024/03/03,15:00,3.99,0.0
2024/03/03,16:00,4.00,0.0
2024/03/03,17:00,4.01,0.0
2024/03/04,06:00,4.14,1.2
2024/03/04,07:00,4.22,1.2
2024/03/04,09:00,4.16,0.8
2024/03/04,10:00,4.18,0.0
2024/03/04,11:00,4.21,0.2
2024/03/04,12:00,4.22,0.0
2024/03/04,13:00,4.26,0.6
2024/03/04,14:00,4.26,0.0
2024/03/04,15:00,4.27,0.1
2024/03/04,16:00,4.29,0.0
2024/03/04,17:00,4.33,0.0
2024/03/04,18:00,4.32,0.0
2024/03/04,19:00,4.38,0.0
2024/03/04,21:00,4.38,0.0
2024/03/04,22:00,4.35,0.0
2024/03/04,23:00,4.31,0.0
2024/03/05,00:00,4.31,0.0
2024/03/05,01:00,4.30,0.0
2024/03/05,02:00,4.28,0.0
2024/03/05,03:00,4.33,0.0
2024/03/05,04:00,4.34,0.0
2024/03/05,05:00,4.32,0.0
2024/03/05,06:00,4.27,0.0
2024/03/05,07:00,4.24,0.0
2024/03/05,08:00,4.21,0.0
2024/03/05,09:00,4.18,0.0
2024/03/05,10:00,4.13,0.0
2024/03/05,11:00,4.11,0.0
2024/03/05,12:00,4.07,0.0
2024/03/05,13:00,4.07,0.0
2024/03/05,14:00,4.03,0.0
2024/03/05,15:00,4.02,0.0
2024/03/05,16:00,4.03,0.0
2024/03/05,17:00,4.02,0.0
2024/03/05,18:00,4.01,0.0
2024/03/05,19:00,4.00,0.0
2024/03/05,20:00,3.97,0.0
2024/03/06,05:00,4.02,0.0
2024/03/06,06:00,4.14,0.0
2024/03/06,07:00,4.13,0.0
2024/03/06,08:00,4.10,0.0
2024/03/06,09:00,4.12,0.0
2024/03/06,10:00,4.14,0.0
2024/03/06,11:00,4.13,0.0
2024/03/06,12:00,4.09,0.0
2024/03/06,13:00,4.08,0.0
2024/03/06,14:00,4.04,0.0
2024/03/06,15:00,4.05,0.0
2024/03/06,16:00,4.02,0.0
2024/03/07,00:00,3.96,0.0
2024/03/07,01:00,3.96,0.0
2024/03/07,02:00,3.94,0.0
2024/03/07,03:00,3.96,0.0
2024/03/07,04:00,3.97,0.0
2024/03/07,05:00,4.00,0.0
2024/03/07,06:00,4.00,0.0
2024/03/07,07:00,3.98,0.0
2024/03/07,08:00,3.95,0.0
2024/03/07,09:00,3.97,0.0
2024/03/07,10:00,3.99,0.0
2024/03/07,11:00,3.97,0.0
2024/03/07,13:00,3.97,0.0
2024/03/07,14:00,3.96,0.0
2024/03/08,14:00,3.98,0.0
2024/03/09,08:00,3.99,0.0
2024/03/13,01:00,3.83,0.0
2024/03/13,02:00,3.83,0.0
2024/03/13,03:00,3.83,0.0
2024/03/13,04:00,3.83,0.0
2024/03/13,05:00,3.84,0.0
2024/03/13,06:00,3.84,0.0
2024/03/13,07:00,3.84,0.0
2024/03/13,08:00,3.82,0.0
2024/03/13,09:00,3.83,0.0
2024/03/13,10:00,3.81,0.0
2024/03/13,11:00,3.82,0.0
2024/03/13,12:00,3.82,0.4
2024/03/13,13:00,3.84,1.6
2024/03/13,14:00,3.80,0.4
2024/03/13,15:00,3.80,0.0
2024/03/13,16:00,3.80,0.0
2024/03/13,17:00,3.88,0.0
2024/03/13,20:00,3.89,0.1
2024/03/13,22:00,3.93,0.0
2024/03/13,23:00,3.92,0.0
2024/03/14,00:00,3.91,0.0
2024/03/14,06:00,4.06,0.0
2024/03/14,07:00,4.06,0.0
2024/03/14,08:00,4.05,0.0
2024/03/14,09:00,4.03,0.0
2024/03/14,10:00,3.98,0.0
2024/03/14,11:00,3.98,0.0
2024/03/14,12:00,3.97,0.2
2024/03/14,13:00,3.93,1.2
2024/03/14,14:00,3.95,0.2
2024/03/14,15:00,3.92,0.8
2024/03/14,16:00,3.90,0.0
2024/03/14,17:00,3.91,0.2
2024/03/14,18:00,3.91,1.8
2024/03/14,19:00,3.91,0.6
2024/03/14,20:00,4.05,0.0
2024/03/14,21:00,4.09,0.0
2024/03/14,22:00,4.07,0.1
2024/03/14,23:00,4.05,0.1
2024/03/15,00:00,4.03,0.0
2024/03/15,01:00,4.04,0.0
2024/03/15,02:00,4.05,0.0
2024/03/15,03:00,4.08,0.0
2024/03/15,04:00,4.21,0.0
2024/03/15,05:00,4.29,0.0
2024/03/15,06:00,4.29,0.0
2024/03/15,07:00,4.26,0.0
2024/03/15,08:00,4.23,0.0
2024/03/15,09:00,4.20,0.0
2024/03/15,10:00,4.18,0.0
2024/03/15,11:00,4.16,0.0
