Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : NARANJITO
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°49'10.85'',Longitud :,78°16'33.54'',Altitud :,500 msnm.
Tipo :,EHA - Hidrológica,Código :,220907
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2023/08/01,00:00,3.70,0.0
2023/08/01,03:00,3.68,0.0
2023/08/01,04:00,3.69,0.0
2023/08/01,05:00,3.68,0.0
2023/08/01,06:00,3.68,0.0
2023/08/01,08:00,3.65,0.0
2023/08/01,09:00,3.65,0.0
2023/08/01,10:00,3.66,0.0
2023/08/01,11:00,3.67,0.0
2023/08/01,12:00,3.66,0.0
2023/08/01,13:00,3.66,0.0
2023/08/01,14:00,3.66,0.0
2023/08/01,15:00,3.64,0.0
2023/08/01,16:00,3.66,0.0
2023/08/01,17:00,3.68,0.0
2023/08/01,18:00,3.69,0.0
2023/08/01,19:00,3.68,0.0
2023/08/02,09:00,3.62,0.0
2023/08/02,10:00,3.65,0.0
2023/08/02,11:00,3.63,0.0
2023/08/02,12:00,3.64,0.0
2023/08/02,13:00,3.65,0.0
2023/08/02,14:00,3.64,0.0
2023/08/02,15:00,3.63,0.0
2023/08/02,16:00,3.64,0.0
2023/08/02,17:00,3.67,0.0
2023/08/02,18:00,3.66,0.0
2023/08/03,09:00,3.62,0.0
2023/08/03,10:00,3.62,0.0
2023/08/03,11:00,3.63,0.0
2023/08/03,12:00,3.63,0.0
2023/08/03,13:00,3.64,0.0
2023/08/03,14:00,3.61,0.0
2023/08/03,15:00,3.63,0.0
2023/08/03,16:00,3.63,0.0
2023/08/03,17:00,3.63,0.0
2023/08/03,18:00,3.68,0.0
2023/08/04,09:00,3.60,0.0
2023/08/04,10:00,3.61,0.0
2023/08/04,11:00,3.62,0.0
2023/08/04,12:00,3.61,0.0
2023/08/04,13:00,3.61,0.0
2023/08/04,14:00,3.61,0.0
2023/08/04,15:00,3.62,0.0
2023/08/04,16:00,3.64,0.0
2023/08/04,17:00,3.63,0.0
2023/08/04,18:00,3.65,0.0
2023/08/05,09:00,3.60,0.0
2023/08/05,10:00,3.61,0.0
2023/08/05,11:00,3.61,0.0
2023/08/05,12:00,3.62,0.0
2023/08/05,13:00,3.63,0.0
2023/08/05,14:00,3.61,0.0
2023/08/05,15:00,3.64,0.0
2023/08/05,16:00,3.64,0.0
2023/08/05,17:00,3.63,0.0
2023/08/05,18:00,3.64,0.0
2023/08/05,19:00,3.64,0.0
2023/08/06,09:00,3.60,0.0
2023/08/06,10:00,3.60,0.0
2023/08/06,11:00,3.61,0.0
2023/08/06,12:00,3.60,0.0
2023/08/06,13:00,3.60,0.0
2023/08/06,14:00,3.62,0.0
2023/08/06,15:00,3.62,0.0
2023/08/06,16:00,3.60,0.0
2023/08/06,17:00,3.63,0.0
2023/08/06,18:00,3.65,0.0
2023/08/06,19:00,3.63,0.0
2023/08/07,08:00,3.61,0.0
2023/08/07,09:00,3.60,0.0
2023/08/07,10:00,3.60,0.0
2023/08/07,11:00,3.60,0.0
2023/08/07,12:00,3.62,0.0
2023/08/07,13:00,3.62,0.0
2023/08/07,14:00,3.63,0.0
2023/08/07,15:00,3.61,0.0
2023/08/07,16:00,3.62,0.0
2023/08/07,17:00,3.63,0.0
2023/08/07,18:00,3.62,0.0
2023/08/08,08:00,3.62,0.0
2023/08/08,09:00,3.60,0.0
2023/08/08,10:00,3.63,0.0
2023/08/08,11:00,3.62,0.0
2023/08/08,12:00,3.60,0.0
2023/08/08,13:00,3.63,0.0
2023/08/08,14:00,3.60,0.0
2023/08/08,15:00,3.63,0.0
2023/08/08,16:00,3.63,0.0
2023/08/08,17:00,3.63,0.0
2023/08/08,18:00,3.63,0.0
2023/08/09,09:00,3.60,0.0
2023/08/09,10:00,3.60,0.0
2023/08/09,11:00,3.59,0.0
2023/08/09,12:00,3.60,0.0
2023/08/09,13:00,3.58,0.0
2023/08/09,14:00,3.62,0.0
2023/08/09,15:00,3.64,0.0
2023/08/09,16:00,3.61,0.1
2023/08/09,18:00,3.61,0.0
