Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : TAMBOPATA
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'33'',Longitud :,69°10'31.04'',Altitud :,198 msnm.
Tipo :,EHA - Hidrológica,Código :,260002
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/08/01,00:00,S/D,S/D
2024/08/02,00:00,S/D,S/D
2024/08/03,00:00,S/D,S/D
2024/08/04,00:00,S/D,S/D
2024/08/05,00:00,S/D,S/D
2024/08/06,00:00,S/D,S/D
2024/08/07,00:00,S/D,S/D
2024/08/10,00:00,S/D,S/D
2024/08/11,00:00,S/D,S/D
2024/08/12,00:00,S/D,S/D
2024/08/13,00:00,S/D,S/D
2024/08/14,00:00,S/D,S/D
2024/08/15,00:00,S/D,S/D
2024/08/16,00:00,S/D,S/D
2024/08/17,00:00,S/D,S/D
2024/08/18,00:00,S/D,S/D
2024/08/19,00:00,S/D,S/D
2024/08/20,00:00,S/D,S/D
2024/08/21,00:00,S/D,S/D
2024/08/22,00:00,S/D,S/D
2024/08/23,00:00,S/D,S/D
2024/08/24,00:00,S/D,S/D
2024/08/25,00:00,S/D,S/D
2024/08/27,00:00,S/D,S/D
2024/08/28,00:00,S/D,S/D
