Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : TAMBOPATA
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'33'',Longitud :,69°10'31.04'',Altitud :,198 msnm.
Tipo :,EHA - Hidrológica,Código :,260002
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/09/27,14:00,S/D,S/D
2024/09/27,15:00,S/D,S/D
2024/09/27,16:00,S/D,S/D
2024/09/27,17:00,S/D,S/D
2024/09/27,18:00,S/D,S/D
2024/09/27,19:00,S/D,S/D
2024/09/27,21:00,S/D,S/D
2024/09/27,22:00,S/D,S/D
2024/09/27,23:00,S/D,S/D
2024/09/28,00:00,S/D,S/D
2024/09/28,01:00,S/D,S/D
2024/09/28,02:00,S/D,S/D
2024/09/28,03:00,S/D,S/D
2024/09/28,04:00,S/D,S/D
2024/09/28,05:00,S/D,S/D
2024/09/28,06:00,S/D,S/D
2024/09/28,07:00,S/D,S/D
2024/09/28,08:00,S/D,S/D
2024/09/28,09:00,S/D,S/D
2024/09/28,10:00,S/D,S/D
2024/09/28,11:00,S/D,S/D
2024/09/28,12:00,S/D,S/D
2024/09/28,13:00,S/D,S/D
2024/09/28,14:00,S/D,S/D
2024/09/28,15:00,S/D,S/D
2024/09/28,16:00,S/D,S/D
2024/09/28,17:00,S/D,S/D
2024/09/28,18:00,S/D,S/D
2024/09/28,19:00,S/D,S/D
2024/09/28,20:00,S/D,S/D
2024/09/28,21:00,S/D,S/D
2024/09/28,22:00,S/D,S/D
2024/09/28,23:00,S/D,S/D
2024/09/29,00:00,S/D,S/D
2024/09/29,01:00,S/D,S/D
2024/09/29,02:00,S/D,S/D
2024/09/29,03:00,S/D,S/D
2024/09/29,04:00,S/D,S/D
2024/09/29,05:00,S/D,S/D
2024/09/29,06:00,S/D,S/D
2024/09/29,07:00,S/D,S/D
2024/09/29,08:00,S/D,S/D
2024/09/29,09:00,S/D,S/D
2024/09/29,10:00,S/D,S/D
2024/09/29,11:00,S/D,S/D
2024/09/29,12:00,S/D,S/D
2024/09/29,13:00,S/D,S/D
2024/09/29,14:00,S/D,S/D
2024/09/29,15:00,S/D,S/D
2024/09/29,16:00,S/D,S/D
2024/09/29,17:00,S/D,S/D
2024/09/29,18:00,S/D,S/D
2024/09/29,19:00,S/D,S/D
2024/09/29,20:00,S/D,S/D
2024/09/29,21:00,S/D,S/D
2024/09/29,22:00,S/D,S/D
2024/09/29,23:00,S/D,S/D
2024/09/30,00:00,S/D,S/D
2024/09/30,01:00,S/D,S/D
2024/09/30,02:00,S/D,S/D
2024/09/30,03:00,S/D,S/D
2024/09/30,04:00,S/D,S/D
2024/09/30,05:00,S/D,S/D
2024/09/30,06:00,S/D,S/D
2024/09/30,07:00,S/D,S/D
2024/09/30,08:00,S/D,S/D
2024/09/30,09:00,S/D,S/D
2024/09/30,10:00,S/D,S/D
2024/09/30,11:00,S/D,S/D
2024/09/30,12:00,S/D,S/D
2024/09/30,13:00,S/D,S/D
2024/09/30,14:00,S/D,S/D
2024/09/30,15:00,S/D,S/D
2024/09/30,16:00,S/D,S/D
2024/09/30,17:00,S/D,S/D
2024/09/30,18:00,S/D,S/D
2024/09/30,19:00,S/D,S/D
2024/09/30,20:00,S/D,S/D
2024/09/30,21:00,S/D,S/D
2024/09/30,22:00,S/D,S/D
2024/09/30,23:00,S/D,S/D
