Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.8'',Altitud :,244 msnm.
Tipo :,CO - Meteorológica,Código :,110129
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-06-01,S/D,S/D,S/D,S/D
2020-06-02,S/D,S/D,S/D,S/D
2020-06-03,S/D,S/D,S/D,S/D
2020-06-04,S/D,S/D,S/D,S/D
2020-06-05,S/D,S/D,S/D,S/D
2020-06-06,S/D,S/D,S/D,S/D
2020-06-07,S/D,S/D,S/D,S/D
2020-06-08,33.4,S/D,S/D,0.0
2020-06-09,33.6,22,80.9,0.0
2020-06-10,32.2,21,79.0,0.0
2020-06-11,33.2,6.5,81.4,0.0
2020-06-12,33,18,79.4,0.0
2020-06-13,32.6,20.2,80.1,0.0
2020-06-14,28,19.6,92.3,0.1
2020-06-15,30,16.8,91.5,0.0
2020-06-16,32,17.4,88.0,0.0
2020-06-17,33,18.4,84.5,0.0
2020-06-18,32.6,18.6,84.5,0.0
2020-06-19,33.2,19,78.6,0.0
2020-06-20,33.6,20.2,79.5,0.0
2020-06-21,32.8,21,80.7,0.0
2020-06-22,33,20,78.0,0.0
2020-06-23,32.4,20.4,85.2,0.0
2020-06-24,32.6,19,84.2,0.0
2020-06-25,33,20.2,86.7,0.0
2020-06-26,33.4,20.6,84.5,0.0
2020-06-27,32,21,87.0,0.0
2020-06-28,24.4,19,92.1,0.4
2020-06-29,24,18,98.3,0.0
2020-06-30,31.4,19,89.0,0.0
2020-07-01,32.6,20.2,80.7,0.0
