Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.8'',Altitud :,244 msnm.
Tipo :,CO - Meteorológica,Código :,110129
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2018-03-01,27.8,20,94.6,12.8
2018-03-02,33,20.2,S/D,66.0
2018-03-03,32.4,20,84.4,0.0
2018-03-04,32.6,21.2,79.9,0.0
2018-03-05,33.4,21.8,90.4,2.1
2018-03-06,30.6,S/D,92.0,42.3
2018-03-07,24.8,S/D,93.5,27.3
2018-03-08,32,S/D,S/D,0.0
2018-03-09,31,S/D,84.6,18.4
2018-03-10,30.6,S/D,93.7,3.7
2018-03-11,33.8,19.8,83.9,0.0
2018-03-12,33.6,21.4,82.8,0.0
2018-03-13,33,22,80.0,0.3
2018-03-14,30.4,22.6,91.4,12.3
2018-03-15,33.4,23,83.3,0.0
2018-03-16,30.4,23.6,86.5,13.3
2018-03-17,32.8,23.2,81.5,0.0
2018-03-18,31.4,23,83.2,0.5
2018-03-19,32.6,21.6,84.8,0.0
2018-03-20,32.6,21.6,83.7,3.7
2018-03-21,26.8,22,89.4,9.5
2018-03-22,32,22.4,88.0,3.0
2018-03-23,32.2,22.6,89.3,0.0
2018-03-24,32.4,21.4,93.9,8.0
2018-03-25,33.2,22.6,85.0,6.1
2018-03-26,22.8,19.6,91.8,0.9
2018-03-27,29,19,93.7,0.0
2018-03-28,29.8,19.6,90.8,0.0
2018-03-29,32.6,20.4,95.0,0.0
2018-03-30,33.4,20.4,83.5,11.0
2018-03-31,29.8,22.8,92.8,3.3
