Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.8'',Altitud :,244 msnm.
Tipo :,CO - Meteorológica,Código :,110129
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-03-01,31.8,23,87.3,0.0
2020-03-02,35.6,23.6,78.8,0.0
2020-03-03,35.4,21.8,79.9,0.0
2020-03-04,35.6,24,79.8,0.0
2020-03-05,35,23.2,80.6,0.0
2020-03-06,33.4,23,85.6,0.0
2020-03-07,33,24,81.6,0.0
2020-03-08,33.8,23.8,83.1,0.0
2020-03-09,26.6,23,96.8,7.8
2020-03-10,33.4,22.4,85.7,0.0
2020-03-11,33.2,23.2,86.4,0.0
2020-03-12,35.2,22.8,78.4,12.0
2020-03-13,33.6,23.6,86.6,10.6
2020-03-14,35,23,77.3,0.0
2020-03-15,S/D,23.2,S/D,S/D
2020-03-16,31,25,93.1,10.3
2020-03-17,S/D,24,S/D,S/D
2020-03-28,S/D,S/D,S/D,S/D
2020-03-29,S/D,S/D,S/D,S/D
2020-03-30,S/D,S/D,S/D,S/D
2020-04-01,S/D,S/D,S/D,S/D
