Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.8'',Altitud :,244 msnm.
Tipo :,CO - Meteorológica,Código :,110129
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-06-01,34.2,21.2,89.5,0.0
2019-06-02,31.2,21.2,95.9,13.4
2019-06-03,26,21,96.2,1.2
2019-06-04,27.4,19.8,91.0,0.0
2019-06-05,30,17.4,89.3,0.0
2019-06-06,34.4,17,86.7,0.0
2019-06-07,31,16.8,86.3,0.0
2019-06-08,33,16.4,93.7,0.0
2019-06-09,27.4,19.8,91.7,0.0
2019-06-10,S/D,21.2,90.8,0.0
2019-06-11,S/D,21,87.5,0.0
2019-06-12,S/D,20.2,85.8,0.0
2019-06-13,S/D,19.8,91.9,0.0
2019-06-14,S/D,19.4,89.9,0.0
2019-06-15,S/D,19,92.1,0.0
2019-06-16,S/D,18.8,92.9,0.0
2019-06-17,S/D,20.4,81.0,0.0
2019-06-18,S/D,20,89.0,0.0
2019-06-19,S/D,19.8,92.0,0.0
2019-06-20,S/D,19,86.6,0.0
2019-06-21,S/D,18.4,85.8,0.0
2019-06-22,S/D,16.4,87.9,0.0
2019-06-23,S/D,16.2,89.7,0.0
2019-06-24,S/D,16.2,86.4,0.0
2019-06-25,S/D,17.8,90.7,0.0
2019-06-26,S/D,18,86.7,0.0
2019-06-27,S/D,19.4,89.2,0.0
2019-06-28,S/D,13,91.8,3.0
2019-06-29,33.4,15.8,83.9,0.0
2019-06-30,34,19.8,85.1,0.0
2019-07-01,34,19.2,82.7,0.0
