Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.8'',Altitud :,244 msnm.
Tipo :,CO - Meteorológica,Código :,110129
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-04-01,S/D,S/D,S/D,S/D
2020-04-02,S/D,S/D,S/D,S/D
2020-04-03,S/D,S/D,S/D,S/D
2020-04-04,S/D,S/D,S/D,S/D
2020-04-05,S/D,S/D,S/D,S/D
2020-04-06,S/D,S/D,S/D,S/D
2020-04-07,S/D,S/D,S/D,S/D
2020-04-08,S/D,S/D,S/D,S/D
2020-04-09,S/D,S/D,S/D,S/D
2020-04-10,S/D,S/D,S/D,S/D
2020-04-11,S/D,S/D,S/D,S/D
2020-04-12,S/D,S/D,S/D,S/D
2020-04-13,S/D,S/D,S/D,S/D
2020-04-14,S/D,S/D,S/D,S/D
2020-04-15,S/D,S/D,S/D,S/D
2020-04-16,S/D,S/D,S/D,S/D
2020-04-17,S/D,S/D,S/D,S/D
2020-04-18,S/D,S/D,S/D,S/D
2020-04-19,S/D,S/D,S/D,S/D
2020-04-20,S/D,S/D,S/D,S/D
2020-04-21,S/D,S/D,S/D,S/D
2020-04-22,S/D,S/D,S/D,S/D
2020-04-23,S/D,S/D,S/D,S/D
2020-04-24,S/D,S/D,S/D,S/D
2020-04-25,S/D,S/D,S/D,S/D
2020-04-26,S/D,S/D,S/D,S/D
2020-04-27,S/D,S/D,S/D,S/D
2020-04-28,S/D,S/D,S/D,S/D
2020-04-29,S/D,S/D,S/D,S/D
2020-04-30,S/D,S/D,S/D,S/D
2020-05-01,S/D,S/D,S/D,S/D
