Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.8'',Altitud :,244 msnm.
Tipo :,CO - Meteorológica,Código :,110129
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-07-01,32.6,20.2,80.7,0.0
2020-07-02,27,20,95.8,1.4
2020-07-03,23.4,17.8,98.9,0.0
2020-07-04,25.4,18.8,89.8,0.0
2020-07-05,31.8,19,85.3,0.0
2020-07-06,33,19.4,83.3,0.7
2020-07-07,32.2,20.4,90.3,2.8
2020-07-08,31.6,20.4,87.4,15.1
2020-07-09,22.8,21.6,96.5,15.4
2020-07-10,23,17.6,96.6,0.0
2020-07-11,30.4,18.8,90.0,0.0
2020-07-12,31.2,18.4,84.3,0.0
2020-07-13,32.4,19,85.0,0.0
2020-07-14,33.2,19.6,81.0,0.0
2020-07-15,27.2,21.6,94.6,0.0
2020-07-16,32.8,19,83.5,0.0
2020-07-17,33.2,19.8,80.5,S/D
2020-07-18,S/D,S/D,S/D,S/D
2020-07-19,S/D,S/D,S/D,S/D
2020-07-20,S/D,S/D,S/D,S/D
2020-07-21,S/D,S/D,S/D,S/D
2020-07-22,S/D,S/D,S/D,S/D
2020-07-23,S/D,S/D,S/D,S/D
2020-07-24,S/D,S/D,S/D,S/D
2020-07-25,S/D,S/D,S/D,S/D
2020-07-26,S/D,S/D,S/D,S/D
2020-07-27,S/D,S/D,S/D,S/D
2020-07-28,S/D,S/D,S/D,S/D
2020-07-29,S/D,S/D,S/D,S/D
2020-07-30,S/D,S/D,S/D,S/D
2020-07-31,S/D,S/D,S/D,S/D
2020-08-01,S/D,S/D,S/D,S/D
