Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.7'',Altitud :,245 msnm.
Tipo :,EAMA - Meteorológica,Código :,472587E0
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/09/01,07:00,22.6,0.0,93,132,0.0
2025/09/01,08:00,24.8,0.0,84,37,0.4
2025/09/01,09:00,27.1,0.0,75,102,0.5
2025/09/01,10:00,31.3,0.0,63,354,1.7
2025/09/01,11:00,34.5,0.0,44,339,4.0
2025/09/01,12:00,35.2,0.0,42,323,3.5
2025/09/01,13:00,36.5,0.0,39,348,2.7
2025/09/01,14:00,37.1,0.0,37,303,1.4
2025/09/01,15:00,34.7,0.0,44,191,1.3
2025/09/01,16:00,33.5,0.0,48,220,3.4
2025/09/01,17:00,31.8,0.0,56,229,2.4
2025/09/01,18:00,29.3,0.0,66,316,1.0
2025/09/01,19:00,27.4,0.0,77,48,0.7
2025/09/01,20:00,25.7,0.0,86,244,0.6
2025/09/01,21:00,25.2,0.0,89,245,0.6
2025/09/01,22:00,25.7,0.0,83,260,1.3
2025/09/02,09:00,23.5,0.3,96,259,3.7
2025/09/02,10:00,25.9,0.0,86,234,2.4
2025/09/02,11:00,29.3,0.0,74,253,4.8
2025/09/02,12:00,31.3,0.0,61,230,7.6
2025/09/02,13:00,31.1,0.0,60,194,5.5
2025/09/02,14:00,31.7,0.0,55,138,1.9
2025/09/02,15:00,27.7,0.0,68,77,7.7
2025/09/02,16:00,28.1,0.0,70,359,3.6
2025/09/02,17:00,25.5,0.0,79,24,4.0
2025/09/02,18:00,24.4,0.0,86,97,0.9
2025/09/02,19:00,24.1,0.0,89,29,1.5
2025/09/02,20:00,23.6,0.0,91,48,0.3
2025/09/02,21:00,23.3,0.0,93,48,1.6
2025/09/02,22:00,23.2,0.0,94,177,1.2
2025/09/03,08:00,24.0,0.0,89,328,1.3
2025/09/03,09:00,27.4,0.0,73,270,2.1
2025/09/03,10:00,27.3,0.0,72,253,5.0
2025/09/03,11:00,28.0,0.0,74,298,3.6
2025/09/03,12:00,29.1,0.0,68,293,2.2
2025/09/03,13:00,30.7,0.0,61,350,1.9
2025/09/03,14:00,33.1,0.0,55,341,3.4
2025/09/03,15:00,31.6,0.0,58,315,3.2
2025/09/03,16:00,31.5,0.0,58,276,2.6
2025/09/03,17:00,30.5,0.0,63,307,0.2
2025/09/03,18:00,27.3,0.0,83,79,0.5
2025/09/03,19:00,25.4,0.0,89,130,0.3
2025/09/03,20:00,24.7,0.0,92,42,0.7
2025/09/03,21:00,23.7,0.0,97,236,0.0
2025/09/04,07:00,22.2,0.0,98,268,1.9
2025/09/04,08:00,25.9,0.0,87,269,2.4
2025/09/04,09:00,30.3,0.0,66,299,2.3
